item	site	category	subcategory	description
Manikin Set	Dark Souls 2 Wiki	Armor	+	"""Mask of the Manikins of Harvest Valley. A fickle queen gave them life, and tore off their faces. How else could she forgive those who dared gaze upon her?""
Top/Gloves/Boots: ""[Armor piece] of the manikins of Harvest Valley.
The peculiar art of puppetry is vestige of the two lost lands. A queen breathed life into these dolls with the very miasma that afflicted her poison-drenched bosom, so that she would have slaves to serve her temperamental will.""
"
Ironclad Set	Dark Souls 2 Wiki	Armor	+	"""An old armor that is oddly comfortable. Belonged to a Ironclad. To this day, the forbidden love of Prince of Alken and the Princess of Venn manipulates these marionettes. Surely they never imagined that their dolls would outlast their own kingdoms.""
Scholar of the First Sin Changed to:""Armor worn by Ironclad Soldiers. Provides high defense, but is so heavy that it requires great strength to move.
The Ironclad Soldiers were minions created by the Old Iron King, their life granted by an enchantment of souls. By now this is again an iron husk, and fit to wear.
Once, the Old King could have unraveled the greater mysteries with the aid of his great soul, but he was led astray by his enormous fortune, becoming nothing more than a vulgar hedonist""
"
Forlorn Set	Dark Souls 2 Wiki	Armor	+	"""Hood/Armor/Gauntlets/Leggings of the Forlorn,
who wander the land of the Undead.
Born of Aldia's obsession with the First Sin, the Forlorn lost both their corporeal form and a world to call their own. Now they drift into other worlds, ever in search of a home.
But without self, one has neither beginning nor end, and so the Forlorn have only to wander.""
"
Agdayne's Set	Dark Souls 2 Wiki	Armor	+	"""Robe/Cuffs/Kilt worn by Agdayne of the Undead Crypt.
Life itself is suffering; or karma, as some have called it.
The embrace of death awaits all things. But does death mean an end to suffering?""
"
Dragonrider Set	Dark Souls 2 Wiki	Armor	+	"Armor worn by the dragonriders, King Vendricks royal guard. According to legend, the dragonriders astride not horses, but wyrms. Aspiring dragonriders who had not the mettle to handle their training were torn apart by their wyrms, and those who survived emerged with deific strength.
"
Gyrm Set	Dark Souls 2 Wiki	Armor	+	"""Gloves of the nomadic Gyrm. Excellent poise but heavy""
""The stocky Gyrm are kind-natured, but humans deemed them impure, and drove them underground.""
"
Looking Glass Set	Dark Souls 2 Wiki	Armor	+	"""Mask/Armor/Gauntlets/Leggings worn by the Looking Glass Knight. Made of metal, but have high lightning defense.
Those who wish to serve the king loyal warriors must take the King's Passage and face the Looking Glass Knight.
Those who fail the test are sacrificed by the merciless specular monstrosity.""
"
Bell Keeper Set	Dark Souls 2 Wiki	Armor	+	"""An old armor that is oddly comfortable. Belonged to a Bell Keeper. To this day, the forbidden love of Prince of Alken and the Princess of Venn manipulates these marionettes. Surely they never imagined that their dolls would outlast their own kingdoms.""
"
White Hollow Mage Set	Dark Souls 2 Wiki	Armor	+	"""Hood/Robe worn by Hollowed Drangleic mages.
Drangleic mages wore different garb depending on their sex. What function this served, however, is unknown, as with many old practices. This is a men's hood/robe.""
"
Alonne Knight Set	Dark Souls 2 Wiki	Armor	+	"""Helm/Gauntlets/Leggings word by Alonne Knights.
The bonds of the Alonne Knights, who served the Old Iron King, were mightier than the land's iron, but in the end the knights were subsumed by the flames that brought the castle down.""
"
Old Ironclad Set	Dark Souls 2 Wiki	Armor	+	"""Armor description"" old armor worn by ironclad soldiers. Boasts high defence, but extremely heavy.
One day, warriors wearing decrepit armor emerged from drangleic castle, and quietly assumed positions amongst the royal army.
not one of them ever spoke a word, or revealed the face under the mask.""
"
Targray's Set	Dark Souls 2 Wiki	Armor	+	"""Helm of one who guides others. Belonged to Targray, Knight of the Blue.
Targray can appear obtuse, but the blue knight means no harm. He only wishes to offer guidance to those in need, for that is his purpose.""
""[armor piece] of one who guides others. Belonged to Targray, Knight of the Blue.
The Blue Sentinels have vowed to uplift themselves from tireless training and selfless adherence to order and justice. May this/these [armor piece] ease their difficult journey.""
"
Varangian Set	Dark Souls 2 Wiki	Armor	+	""" Helm (Amour. cuffs, leggings) worn by Varagians, that terrorized nearby seas. The coastline stretches far in northern Drangleic. Beyond this Northern Sea is an unexplored continent, said to be the home of things inhuman.""
"
Lion Mage Set	Dark Souls 2 Wiki	Armor	+	"""Robe/cuffs/skirt worn by Lion Clan mages.""
""The Lion Clan are an offshoot race that appear in historical records quite abruptly, as if one day they climbed out of the depths of the very earth itself.""
"
Tattered Cloth Set	Dark Souls 2 Wiki	Armor	+	"""Hood/Armor/Gloves/Boots favored by pyromancers. They appear tattered but in fact the fabric is reinforced with pyromancy.
Magic is no show. It is an art that allows mere mortals to glimpse into the very fabric of what is and may be.""
"
Dark Set	Dark Souls 2 Wiki	Armor	+	"Mask/Armor/Gauntlets/Leggings of a knight subsumed by dark.
No one knows the true identity of these men who are said to freely manipulate dark. Old foreign legends describe them as poor souls who chased the lost art of life drain.
"
Monastery Set	Dark Souls 2 Wiki	Armor	+	"""A traditional sacred headcloth/longshirt/gloves/skirt crafted at Lindelt Monastery. Made of lightweight, flowing white fabric.
The ceremonial design suggests that they revered whatever it was they watched over.
The purity of the garment, however, neatly symbolizes the fraudulence found at the very heart of the monastery.""
"
Jester's Set	Dark Souls 2 Wiki	Armor	+	"""A boldly-colored jester's cap/robe/gloves/tights. A nice bit of fun to try on...""
""Jesters are more than festival fixtures; some have a second face, hidden from public view.""
Cap Effect: Raises item discovery.
Robe effect: Nullifies foes' critical hits.
Gloves Effect: Increases number of Souls acquired.
Tights Effect: Reduce falling damage.
"
Dragon Acolyte Set	Dark Souls 2 Wiki	Armor	+	"Hood changed to: ""Hood worn by a Dragon Acolyte sorcerer. The man claims to have sealed himself away, but who's ever heard of sentient magic?
It is no doubt difficult to judge the veracity of the man's words, but this hood certainly seems to possess an unusual power.""
""Robe/Gloves/Leggings worn by a Dragon Acolyte sorcerer. He calls himself Navlaan, now.""
"
Llewellyn Set	Dark Souls 2 Wiki	Armor	+	"""Armor reinforced with rare geisteel. Belonged to Chancellor Wellager.""
""Gloves/Shoes reinforced with rare geisteel. Excellent defensive gear that is both light and sturdy.""
""Quality equipment that is both light and strong. Crafted by the castle's resident master smith Llewellyn, and supplied only to a selected few.
His work easily identified by its lack of ostentation, Llewellyn focused solely on an economy of simplicity and strength.""
"
Pate's Set	Dark Souls 2 Wiki	Armor	+	"Although it appears to be common helmet/armor/gloves/trousers, it has in fact been meticulously customized. Belonged to mild-mannered Pate.
This has been considerably altered. Perhaps it was pillaged.
"
King's Set	Dark Souls 2 Wiki	Armor	+	"""An old armor that is oddly comfortable. Belonged to a King. What makes a king? Some say that it is a birthright, while others call it destiny.Perhaps it is not important, as long as the king's name serves to unite his people.""
"
Ruin Set	Dark Souls 2 Wiki	Armor	+	"""Armor worn by the jailer's creation, the Ruin Sentinel.
The sentinel has no form, its soul residing within the armor itself. Stare at it for long and it seems ready to spring to life, but surely, such is an illusion.""
"
Black Leather Set	Dark Souls 2 Wiki	Armor	+	"""Armor dyed black.    Allows the wearer to blend in with the dark. Often used by those with ill-intent. Meticulously crafted, and provides fair defense.
"
Havel's Set	Dark Souls 2 Wiki	Armor	+	" (armor/gauntlets/leggings) 
"
Hexer's Set	Dark Souls 2 Wiki	Armor	+	"""Hood worn by a hexer. Grants slight increase to spell uses. Belonged to Felkin the Outcast. Hexing appears to be an offshoot of sorcery, but its specific origins are unknown.""
""Robes/Gloves/Boots worn by a hexer. Belonged to Felkin the Outcast.
Those who have a taste of dark are drawn into its vortex and rarely return.
Perhaps it appeals to something deep within the human soul.""
"
Falconer Set	Dark Souls 2 Wiki	Armor	+	"""Helm (Armor/Gloves/Boots) worn by the Volgen Falconers.""
""Domestic Volgen soldiers are infamously timid, so it is no wonder that this fierce band of mercenary falconers was hired to compensate.
In practice they serve as bodyguards for the affluent elite, and they serve well, such that nobody dares scrutinize their backgrounds.""
"
Elite Knight Set	Dark Souls 2 Wiki	Armor	+	"""Helmet (Armor/Gloves/Leggings) made of bradden steel. Provides sturdy defense, making it an old-time favorite of elite knights.
""Bradden steel is used widely in Drangleic. This fine alloy is made from ores mined in the southern kingdom.""
"
Imperious Set	Dark Souls 2 Wiki	Armor	+	"""Helmet/Armor/Gauntlets,Leggings worn by once-proud knights.
Relics of a party who long ago attempted to conquer the Undead Crypt.
For this act of conceit they will never rest in peace, and instead serve as crypt guardians.""
"
Rogue Set	Dark Souls 2 Wiki	Armor	+	"""An old armor that is oddly comfortable. Belonged to a Rogue. To this day, the forbidden love of Prince of Alken and the Princess of Venn manipulates these marionettes. Surely they never imagined that their dolls would outlast their own kingdoms.""
"
Black Set	Dark Souls 2 Wiki	Armor	+	"""Black Hood/Robe/gloves/Boots Belonged to Straid of Olaphis.
Straid was invited to the old kingdom of Olaphis for his wisdom, but its depth was such that people soon feared him, and in the end Straid was led into a dreadful trap.
Straid spent several lifetimes as stone. During this hiatus, kingdoms rose and fell, until the land called Drangleic came to be.""
"
Steel Set	Dark Souls 2 Wiki	Armor	+	"""Heavy steel [armor piece]
A relic of an order of knights said to be the mightiest warriors of their time.""
"
Chaos Set	Dark Souls 2 Wiki	Armor	+	"Hood changed to: ""Hood worn by a chaos sorcerer. The man claims to have sealed himself away, but who's ever heard of sentient magic?
It is no doubt difficult to judge the veracity of the man's words, but this hood certainly seems to possess an unusual power.""
""Robe/Gloves/Leggings worn by a chaos sorcerer. He calls himself Navlaan, now.""
"
Black Dragon Set	Dark Souls 2 Wiki	Armor	+	"""""Eerily shaped helmet/armor/gauntlets/leggings spoken of in legend, crafted with the scales of the Black Dragon.  The Black Dragon was long considered a mere legend, but this proves its existence.""""
"
Nahr Alma Set	Dark Souls 2 Wiki	Armor	+	"""Hood/Robes worn by servants of Nahr Alma, god of blood. Increases souls acquired for each kill. Belonged to Titchy Gren.
Those who profess faith in Nahr Alma have rejected all that is this world, and vow to travel a path stained with blood.""
From Beta:
""Armor worn by Titchy Gren.
Blessed with the protection of the god of war Nahr Alma. This armor is much heavier than it looks, overwhelmed by the blood that it has absorbed.""
"
Hunter Set	Dark Souls 2 Wiki	Armor	+	"""An old armor that is oddly comfortable. Belonged to a Hunter. To this day, the forbidden love of Prince of Alken and the Princess of Venn manipulates these marionettes. Surely they never imagined that their dolls would outlast their own kingdoms.""
"
Throne Defender Set	Dark Souls 2 Wiki	Armor	+	"""[armor piece] worn by the Throne Defender.
The Defender has stood by the throne for ages. Will his wait be worth the while?""
"
Velstadt's Set	Dark Souls 2 Wiki	Armor	+	"""Helmet/Armor/Gauntlets/Leggings worn by the Royal Aegis. Originally imbued with the power of miracles, now soaked with dark after extended exposure in the Undead Crypt.
A knight from a faraway land was lured to this accursed land, but forgot even why he came, eventually reduced to a shadow of his former self.""
"
Alva Set	Dark Souls 2 Wiki	Armor	+	"""Helmet/Armor/Gauntlets/Leggings worn by Alva the Wayfarer
Light but offers very high defense.
Alva crossed many a land in search of a cure for Saint Serreta's sickness, but failed and relinquished his knighthood.
Scholar of the First Sin changed to:
Light but offer very high defense.
Alva crossed many a land in search of a cure for Saint Serreta's sickness, but failed and relinquished his knighthood.
Alva was once wracked with guilt and remorse, but rediscovered his purpose in life with the aid of the witch who once plotted against him.""
"
Benhart's Set	Dark Souls 2 Wiki	Armor	+	
White Priest Set	Dark Souls 2 Wiki	Armor	+	"Hood changed to: ""Hood worn by a White Priest sorcerer. The man claims to have sealed himself away, but who's ever heard of sentient magic?
It is no doubt difficult to judge the veracity of the man's words, but this hood certainly seems to possess an unusual power.""
""Robe/Gloves/Leggings worn by a White Priest sorcerer. He calls himself Navlaan, now.""
"
Astrologist's Set	Dark Souls 2 Wiki	Armor	+	"""Astrologists believe that magical powers can be obtained at moments of special heavenly alignment.
Even the collective wisdom of the Melfian Magic Academy cannot pull magic out of the sky, but the ideas of the astrologists led to the creation of new and very useful magic devices.""
"
Wanderer Set	Dark Souls 2 Wiki	Armor	+	"""A hood/coat/manchettes/boots for the roving type.
Light, sturdy leather made for long journeys.""
"
Catarina Set	Dark Souls 2 Wiki	Armor	+	"""Helm/Armor/Gauntlets/Leggings-Distinctively shaped apparel worn by the Knights of Catarina.
Outside Catarina, they are often ridiculed for their Onion-like shape, infuriating the proud knights, but masterfully forged curved design makes it very effective for parrying.""
Changed to:
""Odd helmet/armor/gauntles/leggings shaped like an onion.
This [armor piece] appears rather absurd, but its multi-faced construction is in fact quite practical as it effectively deflects physical attacks.
The old tales speak of brave Catarina knight wearing this [armor piece] as they rushed courageously into battle.""
"
Executioner Set	Dark Souls 2 Wiki	Armor	+	"""Black Helmet/Armor/Gauntlets/Leggings worn by the executioner of the Undead Purgatory. The spikes are designed to evoke fear.
The executioner mercilessly put down countless Undead, but how could he know that it was never his own will, but that of the chariot horse?""
"
Syan's Set	Dark Souls 2 Wiki	Armor	+	"""Replica of the armor of the loyal knight Syan. This solidly-crafted gear offers high defense.
Sir Syan was widely known as the Kingdom's most loyal knight, and when the Giants invaded, he volunteered to lead the advance party, but he was slaughtered most dishonorably.
The King commissioned replicas of Syan's accoutrements and bestowed them on promising knights, but not long after they donned the armor did most go thoroughly mad.""
"
Drangleic Set	Dark Souls 2 Wiki	Armor	+	"""A traditional Drangleic helmet. Belonged to Captain Drummond.
In his day, King Vendrick was fair and just, and expected the same of his liegemen.
This helm was proof of King Vendrick's trust, an honor, until his transfiguration.""
""Traditional Drangleic Armour/Gauntlets/Leggings. Belonged to Captain Drummond.
Drummond's ancestors have served Drangleic for generations, principally as defenders of the great fort, but Captain Drummond is the last in this proud line.""
"
Black Witch Set	Dark Souls 2 Wiki	Armor	+	"""Robe worn by Zullie the witch,seducer of Alva of Wayfarer. Boasts excellent magic defense.
When Zullie the witch learned of Alva's dedication to Saint Serrate she used all manner of tricks and deceit to ruin him, but in the end she would spend her life with him, supporting his endeavors.""
Scholar of the First Sin added:
""The witch, as unloving as she was unloved, finally found illumination through her blighted existence.""
""Veil worn by Zullie the Witch,
seducer of Alva the Wayfarer.
Boasts excellent magic defense.
When Zullie the witch learned of Alva's dedication to Saint Serrate she used all manner of tricks and deceit to ruin him, but in the end she would spend her life with him, supporting his endeavors.""
""Domino mask worn by Zullie the Witch, seducer of Alva the Wayfarer. Strenghtens magic attacks but reduces max HP.
When Zullie the witch learned of Alva's dedication to Saint Serrate she used all manner of tricks and deceit to ruin him, but in the end she would spend her life with him, supporting his endeavors.""
"
Imported Set	Dark Souls 2 Wiki	Armor	+	"""Hemp hood that fully covers the face. Provides protection from the elements, and little more.""
""Traveler's tunic/manchettes/trousers. Won't provide much in the way of protection.
The cursed souls who wander the lands have a strange way of ending up here, as if drawn from afar by some force.""
"
Tseldora Set	Dark Souls 2 Wiki	Armor	+	"""Outfit worn by settlers of Tseldora. Rather fancy but with low defence and unfit for battle.
Its design recalls Tseldora's glory days, the peak of the brightstone boom.""
Scholar of the First Sin changed to:
""[Armor piece] worn by settlers of Tseldora. Rather fancy but with low defense and unfit for battle.""
Cap: ""Tseldora flourished with the discovery of brightstone, deep under the settlement. But with this prosperity came greed in equal measure, and the people were ever in search of that which they lacked.""
Rest: ""The brightstone that brought prosperity to Tseldora served only to stoke the flames of its peoples' desires, eventually leading to its ruin. Those bewitching, brilliantly gleaming stones are said to be fragments of a being that once roamed the entrails of the earth.""
"
Hollow Infantry Set	Dark Souls 2 Wiki	Armor	+	"""Helm (Armor/Gloves/Boots) worn by Hollowed infantry.""
""A piece of basic, minimal equipment. Worse yet, they're worn and nearly falling apart. Not recommended unless your options are spent.""
"
Mad Warrior Set	Dark Souls 2 Wiki	Armor	+	"""[armor piece] from an unknown foreign land.
King Vendrick called upon powers from beyond his borders in an attempt to stave off the curse. Perhaps they belonged to one of his guests.""
"
Insolent Set	Dark Souls 2 Wiki	Armor	+	"""Helmet/Armor/Gauntlets/Leggings worn by once-proud clerics.
Relics of a party who long ago attempted to conquer the Undead Crypt.
For this sin their deaths have been postponed, so they may serve as crypt sentries.""
"
Creighton's Set	Dark Souls 2 Wiki	Armor	+	"""A typical steel mask. 
Belonged to Creighton the Wanderer. 
Its design resembles that of the knight order 
of the eastern land of Mirrah, but with some odd differences that catch the eye. 
Perhaps it is a finely-crafted imitation.""
"
Royal Soldier Set	Dark Souls 2 Wiki	Armor	+	"""Royal Drangleic soldier armor. Equipment crafted by the royal blacksmith. Finely polished and ready for battle.""
"
Bandit Set	Dark Souls 2 Wiki	Armor	+	"""Helmet/Gauntlets/Armor/Boots of bandits of the Forossan outskirts.
The territory of Forossa became lawless after the kingdom fell to war. Citizens became bandits, and scattered to other lands.""
"
Moon Butterfly Set	Dark Souls 2 Wiki	Armor	+	"""Hat/pinions/cuffs/skirt made from wings of the rare moon butterfly. Poisons those who approach its wearer.""
""Also extends jump distance.""
""Little is known about the moon butterfly, which only appears on full-moon nights in winter. Some say the butterfly is a magical being, and its larvae have never once been spotted.""
Effect(all): Poisons nearby foes
Wings/Skirt Effect: Increases length of jump
"
Xanthous Set	Dark Souls 2 Wiki	Armor	+	"""This blindingly-bright yellow costume is said to have been worn by Xanthous King.
Perhaps the heinously towering head cloth crown served some purpose, or perhaps it was some strange display of power""
Despite the costume's being in near tatters, its yellow hues are mysteriously unfaded.""
"
Prisoner's Set	Dark Souls 2 Wiki	Armor	+	"""Rags worn by imprisoned Hollows. This appears to have been worn on the head (body, arms, hip).
Judging by its looks and apparent virtues, this really is no more than a tattered scrap of cloth. It still carries the stench of a Hollow.""
"
Black Hollow Mage Set	Dark Souls 2 Wiki	Armor	+	"""Hood/Robe worn by Hollowed Drangleic mages.
Drangleic mages wore different garb depending on their sex. What function this served, however, is unknown, as with many old practices. This is a women's hood/robe. ""
"
Bone King Set	Dark Souls 2 Wiki	Armor	+	"""Skeleton lord Helmet/Armor/Gauntlets/Boots.High dark defense.""
Crown: ""The Old Iron King led his best men on Undead hunts, but their memories were purged in rebirth.""
Rest of Set: ""The very men who were ordered to hunt down the Undead were themselves hollowed, and founded a kingdom of bone.""
"
Royal Swordsman Set	Dark Souls 2 Wiki	Armor	+	"Helmet/Armor of a royal swordsman. Its shape provides defense while allowing great mobility. Stripped of ornamentation, this particular helm/armor is designed strictly for battle.
King Vendrick supplied his bravest men with the best armor available to face the great giants, but very few returned alive.""
"
Shadow Set	Dark Souls 2 Wiki	Armor	+	"""Used to hide in the cover of night. Those who are especially adept assassins are often hired as bodyguards.
In an attempt to stave off the curse, King Vendrick hired shadowmen to put down the Hollows, but before long they were Hollowed themselves""
"
Vengarl's Set	Dark Souls 2 Wiki	Armor	+	"""An old armor that is oddly comfortable. Belonged to a Vengarl's. To this day, the forbidden love of Prince of Alken and the Princess of Venn manipulates these marionettes. Surely they never imagined that their dolls would outlast their own kingdoms.""
"
Rusted Mastodon Set	Dark Souls 2 Wiki	Armor	+	
Saint's Set	Dark Souls 2 Wiki	Armor	+	"""Hood worn by miracle-casting clerics. Grants slight increase to spell uses. Belonged to Licia of Lindelt.
Lindelt is founded upon stringent commandments. Its inhabitants often travel to distant lands for ascetic training, but more than a few of these trainees liberate themselves from Lindelt's teachings in the process""
""Dress/gloves/trousers worn by miracle-casting clerics. belonged to Licia of Lindelt.
While its true Licia dedicated herself to miracles, its rare for anyone to pass through life without trouble. even clerics arent always who they seem.""
"
Judgment Set	Dark Souls 2 Wiki	Armor	+	"""A mask/robe/manchettes/tights honoring an ancient goddess. Sin was said to be her domain, but the name of the goddess is long forgotten.""
""Little is known about what purpose the mask/robe/manchettes/tights served, only that it was worn by a person of great authority.""
"
Alonne Captain Set	Dark Souls 2 Wiki	Armor	+	"""Helmet/Armor Worn by the captain of the Alonne Knights.
The accoutrements of the Alonne Knights, who served the Old Iron King, were created with an advanced casting technique. Solid and handsomely crafted, their shine remains brilliant to this day.
Scholar of the First Sin Changed to:
The accoutrements of the Alonne Knights, who served the Old Iron King, were created with an advanced crafting technique. They remain solid and handsomely crafted.
The design is styled after the armor worn by an unusual knight who trained the Iron King's men in the sword. He was said to have deserted his liege after bearing witness to his descent into depravity.""
"
