item	site	category	subcategory	description
Knight Slayer's Ring	Dark Souls 3 Wiki	Rings	+	"
Ring of the savage Tsorig, more commonly known as the Knight Slayer.
Long ago, Tsorig engaged the guardians of an ancient city in a bloody confrontation, and returned with their rings as his prize, still frozen on their dismembered fingers.
"
Ring of Favor	Dark Souls 3 Wiki	Rings	+	"
 A ring symbolizing the favor of the Goddess Fina, whose ""fateful beauty"" is mentioned in legend.
True to the fickle nature of Fina's favor, her ring increases max HP, stamina, and maximum equip load.""
"
Calamity Ring	Dark Souls 3 Wiki	Rings	+	"
A ring made from the orange eye of a calamitous dragon. Receive double damage.
This ring has no useful powers, and is merely a symbol of dragon worship, a thing quietly passed down amongst its most fervent adherents, some of whom become convinced the task has been bestowed upon them as a sacred duty.
"
Sun Princess Ring	Dark Souls 3 Wiki	Rings	+	"
Ring associated with Gwynevere, princess of sunlight and eldest daughter of Gwyn, the First Lord.  The ring is vaguely warm, like a beam of sunlight, and gradually restores HP.  Gwynevere left her home with a great many other deities, and became a wife and mother, raising several heavenly children.
"
Saint's Ring	Dark Souls 3 Wiki	Rings	+	"
A ring bestowed upon a Carim Saint.Allows attunement of additional spells.
In Carim, the saints give voice to the ancient tales. They memorize countless cumbersome sacred books and read them in sonorous tones, a function for which they are widely renowned.
"
Magic Clutch Ring	Dark Souls 3 Wiki	Rings	+	"
Ring depicting a hand grasping a blue stone. Increases magic attack, but compromises damage absorption.An old fable in Londor claims that the lure of the clutch ring reaches out to the crestfallen, who might otherwise be overcome by despair.
"
Hunter's Ring	Dark Souls 3 Wiki	Rings	+	"
Ring engraved with a portrait of a hunter. Increases dexterity.
Increases dexterity 5 points.
The hunters serve Lothric on the fringes and in the shadows. For generations, rulers of Lothric have relied especially upon the Black Hand hunters to punish enemies in ways that the king's Three Pillars cannot.
"
Knight's Ring	Dark Souls 3 Wiki	Rings	+	"
Ring engraved with a portrait of a knight. Increases strength.In Lothric, the Knight has long been considered one of the Three Pillars of the king's rule, and were thus allowed to rear dragons.
"
Lingering Dragoncrest Ring	Dark Souls 3 Wiki	Rings	+	"
A special ring given to those who are deemed fit to undertake the journey of discovery in Vinheim, home of sorcery.Extends length of spell effect.Apropos to the Dragon School, the seal depicts an everlasting dragon. A lingering dragon symbolizes the true nature of the consummate sorcerer.
"
Havel's Ring	Dark Souls 3 Wiki	Rings	+	"
A ring for warriors keen on heavy acoutrements. Increases maximum equip load.This ring was named after Havel the Rock, the battlefield compatriot of Gwyn, the First Lord.The art of war has been a constant since ages past, and those who would follow in Havel's footsteps are no fewer now than in his own day.
"
Morne's Ring	Dark Souls 3 Wiki	Rings	+	"
A malformed ring given to knights of Carim.
Boosts miracles.
Morne served the goddess Caitha and later became an apostle of the Archbishop.They labored together to provide comfort to the suffering.
"
Chillbite Ring	Dark Souls 3 Wiki	Rings	+	"
One of the bite rings native to Carim.  Increases frost resistance.
This ring would never grace Friede's hand, for the painting and its frost became her home.
"
Ring of the Evil Eye	Dark Souls 3 Wiki	Rings	+	"
This ring captured the foul spirit of an evil eye, a creature that ravaged Astora.Absorb HP from each defeated foe.The horrid spirit nearly destroyed Astora, but was eventually defeated by ""the sword of one most noble.""
"
Lloyd's Sword Ring	Dark Souls 3 Wiki	Rings	+	"
Ring given to knights of the Way of White. Depicts Allfather Lloyd's Sword of Law. Boosts attack power when HP is full. Much time has passed since the worship of Lloyd was common in the Way of White. The clerics of Carim had always strongly asserted that Lloyd was a derivative fraud, and that the Allfather title was self-proclaimed.
"
Lightning Clutch Ring	Dark Souls 3 Wiki	Rings	+	"
Ring depicting a hand grasping a yellow stone. Increases lightning attack, but compromises damage absorption.An old fable in Londor claims that the lure of the clutch ring reaches out to the crestfallen, who might otherwise be overcome by despair.
"
Wood Grain Ring	Dark Souls 3 Wiki	Rings	+	"
This special ring crafted in an Eastern land is made of metal, but with a wood grain crest on its surface. Slows equipment degradation.Wielders of swords originating in the same region follow a practice of inscribing special words on the blades of their swords, and are naturally drawn to this ring.
"
Hornet Ring	Dark Souls 3 Wiki	Rings	+	"
Ring associated with the Lord's Blade Ciaran, one of the Four Knights of Gwyn, the First Lord.Boosts critical attacks.The masked Ciaran was the only woman to serve in Gwyn's Four Knights, and her curved sword granted a swift death to any and all enemies of the throne.
"
Silvercat Ring	Dark Souls 3 Wiki	Rings	+	"
Silver ring depicting a leaping feline.Prevents damage from falling.In the Age of Gods, or possibily following it, an old cat was said to speak a human tongue, with the voice of an old woman, and the form of a fanciful immortal.
"
Ring of Steel Protection	Dark Souls 3 Wiki	Rings	+	"
Ring of the Knight King of ancient legend. Increases physical damage absorption.
The Knight King was said to be lined with steel on the inside, such that even the talons of mighty dragons did him little harm.
"
Covetous Silver Serpent Ring	Dark Souls 3 Wiki	Rings	+	"
A silver ring depicting a snake that could have been, but never was, a dragon. Fallen foes yield more souls.Snakes are known as creatures of great avarice, devouring prey even larger than themselves by swallowing them whole.If one's shackles are cause for discontent, perhaps it is time for some old-fashioned greed.
"
Witch's ring	Dark Souls 3 Wiki	Rings	+	"
The Witch of Izalith and her daughters, scorched by the flame of chaos, thaught humans the art of pyromancy and offered them this ring.
Greatly boosts pyromancies.
Every pyromancer is familiar with the parable that tells of the witches espousing the need to fear the flame, and teaching the art of pyromancy to men in hopes that they might learn to control it.
"
Darkmoon Ring	Dark Souls 3 Wiki	Rings	+	"
Ring of the moon deity Gwyndolin, youngest son of Gwyn, the First Lord.
Adds many slots for attunement.
Gwyndolin, also known as the Dark Sun, commands the Darkmoon Knights, and bestows this ring upon the best of them.
"
Fleshbite Ring	Dark Souls 3 Wiki	Rings	+	"
One of the bite rings native to Carim. Raises poison, bleed, frost and curse resist.The crafting of these rings is forbidden, perhaps owing to a fear of malleable stone. Clerics, however, dabble freely in the art.
"
Pontiff's Right Eye	Dark Souls 3 Wiki	Rings	+	"
Bewitched ring that Pontiff Sulyvahn bestowed upon his knights.Boosts attacks, as long as attacking persists.Knights who peer into the black orb are lured into battles of death, transformed into frenzied beasts. No wonder the Pontiff only provides these rings to those dispatched to foreign lands.
"
Carthus Bloodring	Dark Souls 3 Wiki	Rings	+	"
Ring worn by warriors of the sand kingdom, Carthus. Boosts rolling invincibility, at the cost of defense.The sword technique of Carthus allows for fluid movement with a curved sword. Masters of the technique are said to dazzle their opponents by moving as weightlessly as a grain of sand. They live for their High Lord Wolnir, conqueror of most kingdoms known to their people.
"
Bloodbite Ring	Dark Souls 3 Wiki	Rings	+	"
One of the bite rings native to Carim. Increases bleed resistance.
The crafting of these rings is forbidden, perhaps owing to a fear of malleable stone. Clerics, however, dabble freely in the art.
"
Bellowing Dragoncrest Ring	Dark Souls 3 Wiki	Rings	+	"
A special ring given to those who are deemed fit to undertake the journey of discovery in Vinheim, home of sorcery.Greatly boosts sorceries.Apropos to the Dragon School, the seal depicts an everlasting dragon. A bellowing dragon symbolizes the true nature of the consumate sorcerer.
"
Skull Ring	Dark Souls 3 Wiki	Rings	+	"
One of Courland's transposed wonders. Derived from the soul of a Soulfeeder.
Easier to be detected by enemies.
The Soulfeeder was a beast that insatiably absorbed souls to feed its own power. Even after its accursed corpse was burned, it is said that the pungent stench of souls left the air permanently stained.""
"
Sage Ring	Dark Souls 3 Wiki	Rings	+	"
A ring given to Farron's Undead Legion by one of the preacher twins, known more commonly as the Crystal Sages.""
Shortens spell casting time.
The sorcerers of Farron's Abyss Watchers were known to be lonesome warriors who would only rely upon more pragmatic spells.
"
Leo Ring	Dark Souls 3 Wiki	Rings	+	"
Ring associated with Dragon Slayer Ornstein, one of the Four Knights of Gwyn, the First Lord.Strengthens thrust weapon counter attacks.Ornstein was the first knight of the sun's eldest born, and his cross spear is said to have pierced scales made of stone.
"
Speckled Stoneplate Ring	Dark Souls 3 Wiki	Rings	+	"
Stoneplates are symbols of true knights, and speckled stoneplates are granted to those who face an endless journey.Slightly increases magic, lightning, fire and dark damage absorption.
"
Flynn's Ring	Dark Souls 3 Wiki	Rings	+	"
Ring of Flynn, the eulogized thief. Lowering equip load increases attack power.
Flynn fought with the wind on his side, and was a hero among the weak and poor, yet even his admirers knew that it was little more than an idyllic fable.""
"
Flame Stoneplate Ring	Dark Souls 3 Wiki	Rings	+	"
Stoneplates are symbols of true knights, and red stoneplates are granted to those who valiantly face Chaos.Increases fire damage absorption.
"
Untrue White Ring	Dark Souls 3 Wiki	Rings	+	"
One of the illusory rings worn by the Hollows of Londor. Take the appearance of a phantom. The Hollows of Londor are wretchedly aged, fraught with deceit, and dubiously secretive. It is no wonder that they are deeply detested.
"
Dusk Crown Ring	Dark Souls 3 Wiki	Rings	+	"
Leaf-colored crown ring bestowed upon the princess of Oolacile, ancient land of golden sorceries.Reduces consumption of FP, but also lowers HP.Oolacile is synonymous for its lost sorceries of which the xanthous sorcerers are dedicated scholars. This crown ring is a rare artifact of great magic heritage.
"
Reversal Ring	Dark Souls 3 Wiki	Rings	+	"
A divine ring granted to the Darkmoon Gwyndolin in his youth.Causes males to perform female actions, and vice-versa.Gwyndolin was raised like a daughter through the aura of the moon, and was said to behave like a sullen brooding goddess.
"
Dark Clutch Ring	Dark Souls 3 Wiki	Rings	+	"
Ring depicting a hand grasping a purple stone. Increases dark attack, but compromises damage absorption.An old fable in Londor claims that the lure of the clutch ring reaches out to the crestfallen, who might otherwise be overcome by despair.
"
Lloyd's Shield Ring	Dark Souls 3 Wiki	Rings	+	"
Ring given to knights of the Way of White. Depicts Allfather Lloyd's Shield of Caste.
Boosts damage absorption when HP is full.
Much time has passed since the worship of Lloyd was common in the Way of White. The clerics of Carim had always strongly asserted that Lloyd was a derivative fraud, and that the Allfather title was self-proclaimed.""
"
Farron Ring	Dark Souls 3 Wiki	Rings	+	"
A ring given to Undead Legion of Farron. Reduces Skill FP consumption. The Abyss Watchers, for their hunting, required a sword technique that went beyond any existing art. Wolf's blood provided just that, and this ring further extends the effect.
"
Prisoner's Chain	Dark Souls 3 Wiki	Rings	+	"
Portion of a steel chain used to restrain Gundyr. Gain vigor, endurance, and vitality, but take extra damage.A prisoner is one who has staked everything on a belief, a proclivity most apparent in the greatest of champions.
"
Ring of the Sun's First Born	Dark Souls 3 Wiki	Rings	+	"
Ring of the Sun's first born, who inherited the light of Gwyn, the first lord.Greatly boosts miracles.The Sun's first born was once a god of war, until he was stripped of his stature as punishment for his foolishness. No wonder his very name has slipped from the annals of history.
"
Horsehoof Ring	Dark Souls 3 Wiki	Rings	+	"
An old ring with a seal depicting a horse's hoof. Boosts kick effect.Unbreakable Patches adored this ring and the feeling that it gave him when he kicked his marks into the depths of treacherous traps, but suffered no shortage of ridicule from his associates for relying so heavily on the tired old trick.But who is the sorrier? The horse who knows only to kick, or the fool who approaches the old beast without thought?
"
Carthus Milkring	Dark Souls 3 Wiki	Rings	+	"
Ring worn by the warriors of the sand kingdom, Carthus. Slightly boosts dexterity and obscures the wearer while rolling.The sword technique of Carthus allows for fluid movement with a curved sword. Masters of the technique are said to dazzle their opponents by moving as weightlessly as a grain of sand. They live for their High Lord Wolnir, conqueror of most kingdoms known to their people.
"
Fire Clutch Ring	Dark Souls 3 Wiki	Rings	+	"
Ring depicting a hand grasping a red stone. Increases fire attack, but compromises damage absorption.An old fable in Londor claims that the lure of the clutch ring reaches out to the crestfallen, who might otherwise be overcome by despair.
"
Chloranthy Ring	Dark Souls 3 Wiki	Rings	+	"
This old ring is named for its decorative green blossom, but its luster is long since faded. Raises stamina recovery speed.
"
Obscuring Ring	Dark Souls 3 Wiki	Rings	+	"
Ring bestowed upon the Fingers of Rosaria, invaders who seek tongues for their goddess.
 
Hides the presence of the wearer when far away.
 
It is said that Rosaria, the mother of rebirth, was robbed of her tongue by her firstborn, and has been waiting for their return ever since.
"
Blue Tearstone Ring	Dark Souls 3 Wiki	Rings	+	"
A ring set with a large rare tearstone jewel. Temporarily boosts damage absorption when HP is low.This stone is said to be a tear of sorrow of the goddess Caitha, and of course, tears are always more beautiful near death.
"
Estus Ring	Dark Souls 3 Wiki	Rings	+	"
A green ring crafted from shards. Increases HP restored by Estus Flask.
 
This ring was entrusted to a certain Fire Keeper, but in the end she never met her champion, and the ensuing tragic farce became a favorite tale of the masses.
"
Life Ring	Dark Souls 3 Wiki	Rings	+	"
Ring set with a small red jewel. Raises Maximum HP.
"
Deep Ring	Dark Souls 3 Wiki	Rings	+	"
A ring bestowed upon the Deacons of the Cathedral of the Deep. Allows attunement of additional spells. In the Cathedral slumber things most terrible, and as such, the deacons require a grand narrative, to ensure they do not falter in their duty. A philosophy, to ward away the madness beckoned by the grotesqueries at hand.
"
Cursebite Ring	Dark Souls 3 Wiki	Rings	+	"
One of the bite rings native to Carim. Increases curse resistance.The crafting of these rings is forbidden, perhaps owing to a fear of malleable stone. Clerics, however, dabble freely in the art.
"
Young Dragon Ring	Dark Souls 3 Wiki	Rings	+	"
Ring given in Vinheim, home of sorcery, when newly ordained as a sorcerer.
Boosts sorceries.
Apropos to the Dragon School, the seal depicts an everlasting dragon. A young dragon presages the great length of the journey to mastery.""
"
Priestess Ring	Dark Souls 3 Wiki	Rings	+	"
A ring engraved with a portrait of the High Priestess.Increases faith.
In Lothric, the High Priestess has long been considered one of the Three Pillars of the king's rule. The High Priestess also served as the prince's wet nurse.""
"
