item	site	category	subcategory	description
Bloodbite Ring	Dark Souls 2 Wiki	Rings	Crown of the Sunken King Rings	"
""One of several ""bite"" rings, known for their peculiar design. Increases bleeding resistance. The similar, oddly disturbing design of these rings suggests a common source. Whoever the master craftsman was, he clearly knew his trade.""
"
Illusory Ring of the Vengeful	Dark Souls 2 Wiki	Items	Unused Items	"
""A ring made of red stone. The stone is misshaped, perhaps imperceptibily. Renders certain equipment invisible. Do not judge your foes by their appearance. He who approaches with no sword carries two on his back.""
"
Fire Clutch Ring	Dark Souls 2 Wiki	Rings	+	"
""Ring depicting a hand grasping a stone. Increases fire attack, but reduces physical defense. The origin of this ring is unknown, but its design suggests one of the darker deities. Effective use of this ring requires skill on the part of the wearer.""
"
Blue Tearstone Ring	Dark Souls 2 Wiki	Rings	+	"
"" A ring set with a rare tearstone. Reacts when the wearer is in danger, temporarily increasing its wearer's physical defense. Caitha, goddess of tears, mourns those who have lost loved ones by shedding pure tears of blue. It is said that the stone set in this ring is one such tear""
"
Ring of Whispers	Dark Souls 2 Wiki	Rings	+	"
Ring worn by Rhoy the Explorer. Hear the inner voices of surrounding foes. Useful for locating hidden enemies, and perhaps for a few other things, as well.""
"
Ring of Blades	Dark Souls 2 Wiki	Rings	+	"
""The Ring of Blades is modeled after the mad knight of Alken's weapon of choice. Increases physical attack. The kingdoms of Alken and Venn long ago flourished on these very grounds. They were both founded by the same man, but were reduced to rivalry and spite.""
"
Ring of the Embedded	Dark Souls 2 Wiki	Rings	+	"
""Ring crafted from the chains of the Embedded. Receive various benefits, but at the cost of increased damage taken. The chains of the Embedded have the power to transform people into slaves of pleasure, setting them on a path of ruin. This ring augments that peculiar quality.""
"
Redeye Ring	Dark Souls 2 Wiki	Rings	+	"
""A cursed ring depicting a demon eye. Becomes easier to be detected by enemies. If it is tranquility that you seek, then you should never have left your home. If you seek strife, then fair enough, but no need to overdo it.""
"
Dark Quartz Ring	Dark Souls 2 Wiki	Rings	Crown of the Sunken King Rings	"
""A ring bestow upon students of a certain standard at the Melfian Magic Academy. It's lightning quartz increases lightning defense. Pyromancer Glocken crafted so many of these replicas that they became widespread, such that his fellow magicians harshly scolded him for undermining lessons gained from harsh training.""
"
Third Dragon Ring	Dark Souls 2 Wiki	Rings	+	"
""A dragon signet ring. Grants its bearer the protection of dragons. Increases HP, stamina, and maximum load, but is easily broken. Raulmond, knight of Drangleic, served the king by guarding the fort until his own demise, and was said to have cherished this ring throughout his life of service.""
"
Delicate String	Dark Souls 2 Wiki	Rings	+	"
""A soft string-like ring tied around the finger. Makes it easier for invaders to find your world. Who would create such a ring, and why? Perhaps the answer is better left unknown.""
"
Covetous Silver Serpent Ring	Dark Souls 2 Wiki	Rings	+	"
""A silver ring depicting the snake, both the servant and manifestation of the god of greed, Zandroe. Greed is traditionally viewed as a vice, but only a fool lets that ruin a good opportunity.""
"
Ring of Knowledge	Dark Souls 2 Wiki	Rings	+	"
""A ring blessed by the High Priest of Volgen. Increases intelligence. The clerics of the great city of Volgen are perennially entrenched in scandalous power struggles, but among them remain a few strong-willed, upstanding noblemen.""
"
Blue Seal	Dark Souls 2 Wiki	Rings	+	"
""Ring of the Way of Blue covenant. Increases HP slightly. The Way of Blue is not a developed religion. It is a humble prayer that spread naturally amongst those seeking help. When apostles of Blue are invaded by dark spirits, they can receive assistance from masters of other worlds.""
"
Sun Seal	Dark Souls 2 Wiki	Rings	+	"
""Ring of the Heirs to the Sun covenant. Slightly increases miracle attack power. Worship of the sun, now a lost belief, was once widespread amongst great warriors. Members of this covenant can leave their golden signs to be more easily summoned to join their brethren in jolly cooperation."" Praise the sun.
"
Abyss Seal	Dark Souls 2 Wiki	Rings	+	"
 
""Ring of the Pilgrims of Dark covenant . Increases the attack strength of hexes, but casting them reduces HP. What is dark? Perhaps we already know. We fear the dark, yet find solace in it. Those who join this covenant can see the hidden Dark Chasm.""
 
"
Thunder Quartz Ring	Dark Souls 2 Wiki	Rings	Crown of the Sunken King Rings	"
""A ring bestow upon students of a certain standard at the Melfian Magic Academy. It's lightning quartz increases lightning defense. Pyromancer Glocken crafted so many of these replicas that they became widespread, such that his fellow magicians harshly scolded him for undermining lessons gained from harsh training.""
"
Stone Ring	Dark Souls 2 Wiki	Rings	+	"
""The beloved ring of the gallant Shieldless Lothian, formerly of Forossa. Hits greatly reduce enemies poise. The effect may seem trivial, but for those who comprehend how critical it is to exploit a hole in enemy defenses, the significance of this ring will be clear.""
"
Ring of Thorns	Dark Souls 2 Wiki	Rings	+	"
""Ring granted protection by Kremmel, god of Struggle. The ring's spikes drive into the wearer's skin, so that each blow fuels spite toward the perpetrator. When damage is taken the ring retaliates and inflicts damage upon enemy.""
"
Gower's Ring of Protection	Dark Souls 2 Wiki	Rings	+	"
""The Ring of the assassin Gower, who has killed a half-dozen kings, and several distinguished clergymen. Reduces damage taken from behind. For an assassin. whose own life is always at stake, the greatest liability is one's exposed back.""
"
Lightning Clutch Ring	Dark Souls 2 Wiki	Rings	+	"
""Ring depicting a hand grasping a stone. Increses lightning attack, but reduces physical defense. The origin of this ring is unknown, but its design suggests one of the darker deities. Effective use of this ring requires skill on the part of the wearer.""
"
Cursebite Ring	Dark Souls 2 Wiki	Rings	+	"
""One of several ""bite"" rings, known for their peculiar design. Increases curse resistance. The similar, oddly disturbing design of these rings suggests a common source. Whoever the master craftsman was, he clearly knew his trade.""
"
Hawk Ring	Dark Souls 2 Wiki	Rings	+	"
A ring graced with the engraving of the hawk. Extends the range of arrows. Blue eyed Durgo, the nomadic bowman, had many valiant victories in battle, half owing to the boon of this ring.
"
Bracing Knuckle Ring	Dark Souls 2 Wiki	Rings	+	"
Knuckle ring worn by Rhoy the Explorer. Slows equipment degradation. Expensive, flashy gear will not always make life easier for you. Sometimes, you just need your tried-and-true equipment to last the long haul.""
"
Ring of Restoration	Dark Souls 2 Wiki	Rings	+	"
""A protective ring passed down in House Osteria. Gradually restores HP. In the sacred land of Lindelt, this ring symbolized prosperity and longevity for the great House of Osteria. But the ring is fragile and breaks easily, as if it hates being taken for granted.""
"
Yorgh's Ring	Dark Souls 2 Wiki	Rings	Crown of the Sunken King Rings	"
""Ring of Sir Yorgh, who sought the blood of a dragon and invaded Shulva. Can deflect spells. When Sir Yorgh faced Sinh, the slumbering dragon, he drew blood with a flash of his steel, but Sinh responded by spewing forth the poison that had long brewed within him, blanketing the city in a miasmic cloud.""
"
Ash Knuckle Ring	Dark Souls 2 Wiki	Rings	+	"
""Knuckle ring worn by Rhoy the Explorer. Increases petrification resistance. Petrification is tantamount to death, and in that sense, this knuckle ring is a charm that may save your life.""
"
Ring of Prayer	Dark Souls 2 Wiki	Rings	+	"
""The clerics of the great city of Volgen are Perennially entrenched in scandalous power struggles, but among them remain a few strong-willed, upstanding noblemen.""
"
Name-engraved Ring	Dark Souls 2 Wiki	Rings	+	"
""A special ring that can be engraved with the name of a god. Becomes easier to connect to worlds of players who chose the same god. There are countless vestiges of long-lost gods in the ruins of Drangleic. Or perhaps they are the very same gods as ours, only known by different names.""
"
King's Ring	Dark Souls 2 Wiki	Rings	+	"
""A soul is much like a curse. And those with strong souls must bear within themselves an even stronger curse. Vendrick, King of Drangleic, used a powerful soul to keep the curse at bay. In the end, he sought the flame that began it all. Wear the ring to open the King's Gate.""
"
Guardian's Seal	Dark Souls 2 Wiki	Rings	+	"
""Ring of the Blue Sentinel covenant. Join this covenant and wear this ring to be automatically summoned to the worlds of blue apostles who have been invaded by dark spirits. The ring is engraved with the crest of the Way of Blue, symbolizing the dignified oath to protect each world's master from dark spirits.""
"
Bell Keeper's Seal	Dark Souls 2 Wiki	Rings	+	"
""Ring of the Bell Keeper covenant. Join this covenant and wear this ring to be automatically summoned to the world of an invader of the bell keepers domain. The twin bells symbolize the love between two lovers who could never be united. The bell keepers are their eternal guardians. For that is their love, that is their curse.""
"
Dispelling Ring	Dark Souls 2 Wiki	Rings	+	"
""A protective ring set with gemstones of four different colors. Increases the wearer's resistance to magic, lightning, fire and dark. The artistry required to attune the varying powers of four different stones within one ring could only be described as transcendental. There is only one sorcerer who could have done this; a man from the lost land of Olaphis""
"
Life Ring	Dark Souls 2 Wiki	Rings	+	"
""An old ring set with a red jewel. Raises maximum HP. Each ring has a different power, and even very modest rings can be a great boon on a perilous journey.""
"
Agape Ring	Dark Souls 2 Wiki	Rings	+	"
""A ring affixed with an open vessel. The vessel insatiably absorbs souls in place of its wearer, who is left unaware even of their collection. All things are rooted in souls, but what drives our thirst for them? Abstinence from this elixir may be the truest homage to an enduring self""
"
Southern Ritual Band	Dark Souls 2 Wiki	Rings	+	"
""One of the secret treasures restored in Aldia. Raises the number of spells you may attune. This modest-looking ring contains very powerful magic. To imagine what unspeakable deeds were performed to create such rings, one need only recall the cruel fate of the resident of Aldia.""
"
Sorcery Clutch Ring	Dark Souls 2 Wiki	Rings	+	"
""Ring depicting a hand grasping a stone. Increases magic attack, but reduces physical defense. The origin of this ring is unknown, but its design suggests one of the darker deities. Effective use of this ring requires skill on the part of the wearer.""
"
Lingering Dragoncrest Ring	Dark Souls 2 Wiki	Rings	+	"

""A ring used long, long ago in a land that existed where Drangleic is now. Extends the length of spell effects. Presumably, this ring was used by a high sorcerer, but no proof of such remains.""
Scholar of the First Sin changed to: A ring used long, long ago in a land that existed where Drangleic is now. Extends the length of spell effects. The ancient dragons were once worshipped in several nations, and rumors concerning objects of similar enchantments to this uncommon ring abound in many lands, though their origins are no longer verifiable.""

"
Northern Ritual Band	Dark Souls 2 Wiki	Rings	+	"
""One of the secret treasures restored in Aldia. Increases spell uses, but at the cost of HP. This modest-looking ring contains very powerful magic. To imagine what unspeakable deeds were performed to create such rings, one need only recall the cruel fate of the residents of Aldia.""
"
Silvercat Ring	Dark Souls 2 Wiki	Rings	+	"
""Silver ring depicting a leaping feline. Reduces damage from falling. Legend has it that when cats grow old, a force brews within them, and they are reborn as something new.""
"
Chloranthy Ring	Dark Souls 2 Wiki	Rings	+	"
""The ring is named for its decorative green blossom, but its luster is long since faded. Raises stamina recovery speed.""
"
Flame Quartz Ring	Dark Souls 2 Wiki	Rings	+	"
""A ring bestowed upon students of a certain standard of the Melfian Magic Academy. It's fire-based quartz increases fire defense. There are rumors that Pyromancer Glocken has made a hefty profit selling these replicas.""
"
Vanquisher's Seal	Dark Souls 2 Wiki	Rings	+	"
""Ring of the Company of Champions covenant. Greatly increases attack power of bare hands. The souls of fallen heroes found along the way salute those whose scoff at danger and bravely seek the harder path. Joining the covenant strengthens the enemies within your world.""
"
Poisonbite Ring	Dark Souls 2 Wiki	Rings	Crown of the Sunken King Rings	"
""One of the several ""bite"" rings, known for their peculiar design. Increases poison resistance. The similar, oddly disturbing design of these rings suggests a common source. Whoever the master craftsman was, he clearly knew his trade.""
"
Second Dragon Ring	Dark Souls 2 Wiki	Rings	+	"
""A dragon signet ring. Grants its bearer the protection of dragons. Increases HP, stamina, and maximum load, but is easily broken. Raulmond, knight of Drangleic, served the king by guarding the fort until his own demise, and was said to have cherished this ring throughout his life of service.""
"
Illusory Ring of a Conqueror	Dark Souls 2 Wiki	Rings	+	"
A ring of blue stone. The stone is misshaped, however imperceptibly. renders certain equipment invisible. Do not judge your foes by their appearance. He who approaches without a sword carries two behind his back.
"
Simpleton's Ring	Dark Souls 2 Wiki	Rings	Crown of the Old Iron King Rings	"
Ring depicting a simpleton's flower. Wearer becomes invisible while rolling. This ring was worn by the soldiers of the Old Iron King, said to be blessed with divine protection. This ring only does one thing, but with ingenuity it can be fearsomely effective.
"
First Dragon Ring	Dark Souls 2 Wiki	Rings	+	"
""A dragon signet ring. Grants its bearer the protection of dragons. Increases HP, stamina, and maximum load, but is easily broken. Raulmond, knight of Drangleic, served the king by guarding the fort until his own demise, and was said to have cherished this ring throughout his life of service.""
"
Crest of Blood	Dark Souls 2 Wiki	Rings	+	"
""Ring of the Brotherhood of Blood Covenant. This is nothing special. Perhaps, in the end, an oath is but a window into the ambitions of the oath taker. If you have taken this oath, then you know what you want. To be soaked in the blood of your kind.""
"
Ring of Life Protection	Dark Souls 2 Wiki	Rings	+	"
""Divine ring that watches over one's life. Created by the students of Ivory Rhones, sage of Lindelt It's great protective power will protect you from any loss upon death, but after its power is spent, the ring will break.""
"
White Ring	Dark Souls 2 Wiki	Rings	+	"
""White Ring"" A precious ring which grants the protection of Quella, god of dreams. Makes its wearer appear as a white phantom, misleading invaders. He who sets the trap must be wary. For traps are known to spring upon their owners.""
"
Old Sun Ring	Dark Souls 2 Wiki	Rings	+	"
""An odd stone ring containing a fiery heat. Accumulates power as the user is harmed, then explodes damaging surrounding enemies while leaving it's wearer unscathed. Our deeds will come back to us in some form or another, both good and bad""
"
Covetous Gold Serpent Ring	Dark Souls 2 Wiki	Rings	+	"
""A gold ring depicting the snake, both the servant and manifestation of the god of desire, Zinder Greed is traditionally viewed as a vice, but only a coward sees every chance as something to fear""
"
