item	site	category	subcategory	description
Talisman	Dark Souls 3 Wiki	Weapons	Talismans	Talisman for casting miracles of the Gods. Once a very common item among the ranks of the old Way of White.<br><br>Equip a Talisman or a sacred chime to cast miracles. Miracles must be attuned at a bonfire before use.<br><br>Skill: Unfaltering Prayer<br>Temporarily increase poise while casting miracles, preventing enemy attacks from interrupting prayer. Works while equipped in either hand.
Longbow	Dark Souls 3 Wiki	Weapons	Bows	Longbow commonly used by hunters.<br><br>Arrows must be equipped in order to use bows. Up to two kinds of arrow can be equipped at a time, and these can be switched as necessary.<br><br>Skill: Puncture<br>Pull the arrow even further back for a more powerful shot that can also pierce shields.
Crow Quills	Dark Souls 3 Wiki	Weapons	Ashes of Ariandel Weapons	Thrusting sword wielded by Corvian Knights, and a special paired weapon. When twin-handed, brandish four thin-edge blades in the left hand.
Quakestone Hammer	Dark Souls 3 Wiki	Weapons	Ashes of Ariandel Weapons	A Stonehammer wielded by the Millwood Knights, with a head of naturally-formed stone.
Millwood Battle Axe	Dark Souls 3 Wiki	Weapons	Ashes of Ariandel Weapons	Battle axe wielded by Millwood Knights. Its blade is blessed by the symbol of the Ethereal Oak
Spiked Mace	Dark Souls 3 Wiki	Weapons	Great Hammers	Choice weapon of the evangelists of the Cathedral of the Deep, mentors of the dwellers of the Undead Settlement.&nbsp;Its long, sharp spikes cause great pain and bleeding.<br><br>Skill: Spin Bash<br>Bash foes with a large spinning motion, and utilize momentum to transition into an overhanded strong attack smash.
Broken Straight Sword	Dark Souls 3 Wiki	Weapons	Straight Swords	"<span style=""font-size: 12pt;"">A straight sword with a broken blade.</span><br><br><span style=""font-size: 12pt;"">A weapon with no exceptional qualities. Only a mad Hollow would choose to fight with this.</span><br><br><span style=""font-size: 12pt;"">Skill: Stance</span><br><span style=""font-size: 12pt;"">While in stance, use normal attack to break a foe's guard from below, and strong attack to slash upwards with a forward lunge. Only, neither move will appear very impressive with a broken sword.</span>"
Storm Curved Sword	Dark Souls 3 Wiki	Weapons	Curved Swords	Curved sword imbued with the strength of the Stormdrake.<br><br>The Nameless King, ally of the ancient dragons, fought beside the Stormdrake in countless battles. &nbsp;When the great beast fell, the king claimed his soul, as was the custom in the age of gods<br><br>Skill: Tornado<br>Imbue blade with the wrath of storm in a spinning motion, and follow with a strong attack to bear that wrath upon foes.
Astora Straight Sword	Dark Souls 3 Wiki	Weapons	Straight Swords	A well-crafted sword named after the ruined land.<br><br>Astora, before its fall, was a land replete with royal blood, and this weapon is both a reminder and heirloom of that era.<br><br>Skill: Stance<br>While in stance, use normal attack to break a foe's guard from below, and strong attack to slash upwards with a forward lunge.
Longsword	Dark Souls 3 Wiki	Weapons	Straight Swords	A balanced, widely-used standard straight sword. Inflicts reliable standard damage, as well as high thrust damage.
Storyteller's Staff	Dark Souls 3 Wiki	Weapons	Staves	Staff of a heretic storyteller who shares tales of the Painted World to forlorn souls.<br><br>The storytellers, too, are wretched beings with no place to go. Their bodies, souls, and even their staves are all tainted through and through.<br><br>Skill: Poison Spores<br>Expel noxious spores from the formless, parasitical things that inhabit the staff.
Crystal Sage's Rapier	Dark Souls 3 Wiki	Weapons	Thrusting Swords	Thrusting Sword with tiny crystals scattered across its blade, used by the Crystal Sages for self-defence.<br><br>The crystals boost the magic damage inflicted by the sword, and the item discovery of its wielder, fruit of the lifetime of research conducted by the sages.<br><br>Skill: Stance. <br>From stance, use normal attack to back step and execute a surprise attack, or a strong attack for consecutive thrusting.
Sage's Crystal Staff	Dark Souls 3 Wiki	Weapons	Staves	Crystal catalyst presented as a gift from the Crystal Sages to their favorite pupil, Kriemhild. <br><br>Crystal spheres devour the will of the user, and this staff increases the potency of sorceries at the cost of increased FP consumption by Skills.<br><br>Skill: Steady Chant<br>Boost the strength of sorceries for a very short period. Works while equipped in either hand.
Yorshka's Chime	Dark Souls 3 Wiki	Weapons	Sacred Chimes	A sacred chime belonging to Yorshka. Her brother, the former knight captain, presented her with this medium together with another gift: her name.<br>The ringing of the chime must have done much to soothe her loneliness.<br><br>Skill: Gentle Prayer<br>Recovers HP for a period of time, albeit extremely slowly. Works while equipped in either hand.
Saint's Talisman	Dark Souls 3 Wiki	Weapons	Talismans	Medium for casting miracles of the Gods. Ivory talismans are given only to women clerics, and faith greatly affects their effectiveness.<br><br>There is a certain frailty to this talisman, which undermines the steadfastness granted by its Skill.<br><br>Skill: Unfaltering Prayer<br>Temporarily increases poise while casting miracles, preventing enemy attacks from interrupting prayer. Works while equipped in either hand.
Crescent Moon Sword	Dark Souls 3 Wiki	Weapons	Curved Swords	Ringfinger Leonhard's weapon of choice, a type of shotel imbued with the power of the moon.<br><br>Leonhard set out on a journey of rebirth, but decided instead to serve the goddess as a knight, and inherited this weapon.&nbsp;<br><br>Skill: Crescent Blade<br>Assume a broad stance and fire off crescent moon blades.&nbsp;
Black Knight Greatsword	Dark Souls 3 Wiki	Weapons	Ultra Greatswords	Ultra greatsword wielded by the Black Knights who wander the lands. Designed to face chaos demons.<br><br>The Black Knights constantly faced foes larger than themselves, and this sword's unique attack greatly reduces enemy poise.&nbsp;
Bandit's Knife	Dark Souls 3 Wiki	Weapons	Daggers	A wide single-edged shortsword.<br><br>Primarily a slicing weapon, but its blade is crafted to cause bleeding, making it a favorite of lowly thieves and bandits.<br><br>Skill: Quickstep<br>Instantly step behind or around the side of foes. Especially effective when locked on to target.
Winged Knight Halberd	Dark Souls 3 Wiki	Weapons	Halberds	Halberd wielded by the Winged Knights, who swore themselves to the Angels.<br><br>The thick, heavy, bloodstained blade can only be swung by one with inhuman strength.<br><br>Skill: Chain Spin<br>Sweep foes in a large spinning motion and use strong attack to continue the motion until stamina is exhausted.
Rose of Ariandel	Dark Souls 3 Wiki	Soul Transposition	Boss Soul Weapons	A flail used by the bulbous Father of the Painted World to shred his own skin, producing blood to appease the flame. Both a weapon and a miracle catalyst.
Smough's Great Hammer	Dark Souls 3 Wiki	Weapons	Great Hammers	Twisted great Hammer associated with Smough, the last knight to remain at his post, guarding the ruined cathedral.<br><br>Restore HP while attacking, a carryover from Smough's past as an executioner.<br><br>Skill: Perseverance<br>Anchor weapon in earth to temporarily boost poise. Damage reduced while activated.
Great Club	Dark Souls 3 Wiki	Weapons	Great Hammers	Wood club fashioned from the branch of a giant tree. Requires considerable strength to wield.<br><br>A hard, durable weapon. Its weight makes it easier to break the guard of shields.<br><br>Skill: Warcry<br>Let out a spirited warcry that temporarily boosts attack, and enables special consecutive strong attack.
Murakumo	Dark Souls 3 Wiki	Weapons	Curved Greatswords	The curved greatsword of Alva, Seeker of the Spurned, specially forged in an eastern land. Sharp but heavy, this sword requires extreme strength and dexterity to wield.<br><br>The search for the spurned had no end, and so the wayfaring knight warmed to a most deformed weapon.<br><br>Skill: Spin Slash<br>Slice into foes with a large spinning motion, and continue spinning to transition into a strong attack.
Spotted Whip	Dark Souls 3 Wiki	Weapons	Whips	Whip mottled with venomous-looking spots. Favored by some female pyromancers of the Great Swamp.<br><br>As its noxious appearance would suggest, damage from this whip poisons its victims, slowly but surely guiding them to their deaths.<br><br>Skill: Impact<br>Strike from the left to evade shields and deal a stinging blow that temporarily slows stamina recovery. The shackles of bondage lie deep in the hearts of all humankind.
Battle Axe	Dark Souls 3 Wiki	Weapons	Axes	Easily-wielded axe crafted for battle and inflicting standard damage.<br><br>It's weight can be used to inflict high damage, but must be used carefully as it leaves its wielder open to retaliation.<br><br>Skill: Warcry<br>Let out a spirited warcry that temporarily boosts attack.
Anri's Straight Sword	Dark Souls 3 Wiki	Weapons	Straight Swords	Sword precious to Anri, another Unkindled. The dullest type of blade found in the ruined land of Astora.<br><br>Only, it was once the sword of an earnest noble figure, and its attacks are boosted by that elusive, essential property unique to humans: luck.<br><br>Skill: Stance<br>While in stance, use normal attack to break a foe's guard from below, and strong attack to slash upwards with a forward lunge.
Storm Ruler	Dark Souls 3 Wiki	Weapons	Greatswords	Greatsword with a broken blade, also known as the Giantslayer for the residual strength of storm that brings giants to their knees.<br><br>Yhorm the Giant once held two of these, but gave one to the humans that doubted him, and left the other to a dear friend before facing his fate as a Lord of Cinder.<br><br>Skill: Storm King<br>Assume stance to imbue sword with storm. Most effective when facing giants.
Warpick	Dark Souls 3 Wiki	Weapons	Hammers	A war hammer with a long prolonged head.Was originally a pickaxe, but was refitted for battle. This simple but deadly weapon hits heavily with thrust damage,easily puncturing metal armor.<br><br>Skill:&nbsp;Galvanize<br>Temporarily boost stamina recovery speed by sheer force of will, perhaps as a channeling of the original owners industrious efforts.
Moonlight Greatsword	Dark Souls 3 Wiki	Weapons	Greatswords	Legendary dragon weapon associated with Seath the paledrake.<br><br>Charge strong attack to its limit to unleash moonlight wave.<br><br>Oceiros, the Consumed King, was infatuated with the search for moonlight, but in the end, it never revealed itself to him.<br><br>Skill: Moonlight Vortex<br>Draw sword back and thrust to unleash torrential moonlight.&nbsp;
Corvian Greatknife	Dark Souls 3 Wiki	Weapons	Daggers	Dagger of the unwanted, those guided by heretical storytellers. <br><br>A rather large dagger with a powerful attack, but this transparent attempt to intimidate foes reveals much about its owner's fears.<br><br>Skill: Blind Spot<br>Use against shielded foes to break through their guard by attacking from the side.
Black Knight Glaive	Dark Souls 3 Wiki	Weapons	Halberds	Glaive of the black knights who wander the lands. Used to face chaos demons.<br><br>The unique attack of this glaive greatly reduces enemy poise, reflecting the tremendous size of the enemies that the knights have fearlessly faced.<br><br>Skill: Spin Sweep<br>Sweep foes in a large spinning motion, and utilize momentum to transition into an overhanded strong attack.&nbsp;<br><br>
Mendicant's Staff	Dark Souls 3 Wiki	Weapons	Staves	A staff with a small bowl attached to the tip, similar to a mendicant's crook.&nbsp;Absorb additional souls from fallen foes.<br><br>The staff's history is unclear. It may be a relic of an ancient serpent's greed, or a ritual artifact used to summon souls.<br><br>Skill: Steady Chant<br>Boost the strength of sorceries for a very short period. Works while equipped in either hand.
Dragonslayer Greatbow	Dark Souls 3 Wiki	Weapons	Greatbows	Greatbow used by the Dragonslayers during the age of gods. Far greater in size than any normal bow, and far more devastating. <br><br>The bow must be anchored in the ground to be fired, a time consuming operation that leaves the operator vulnerable. Only specialized great arrows can be fired from the bow.<br><br>Skill: Puncturing Arrow<br>Masterfully fires off a great arrow that pierces through all enemies in its path, inflicting damage.
Caitha's Chime	Dark Souls 3 Wiki	Weapons	Chimes	Sacred chime blessed by Caitha, goddess of tears. <br><br>Rare even amongst Carim clerics. Affected by intelligence, a rare thing for miracle catalysts, and also agreeable with miracles that lean towards the Dark. Its existence is concealed in the name of the Archbishop, as it is anathema.<br><br>Skill: Gentle Prayer<br>Recovers HP for a period of time, albeit extremely slowly. Works while equipped in either hand.
Crystal Chime	Dark Souls 3 Wiki	Weapons	Sacred Chimes	A sacred chime, once the possession of Gertrude, the Heavenly Daughter, and defiled by the scholars of the Grand Archives.<br><br>The power of crystals granted the scholars a degree of success. In this case, their work enabled this chime to be suitable for casting both miracles and sorceries.<br><br>Skill: Gentle Prayer<br>Recovers HP for a period of time, albeit extremely slowly. Works while equipped in either hand.<br><br>
Mail Breaker	Dark Souls 3 Wiki	Weapons	Daggers	A small sword made for thrusting attacks.<br><br>This hard, edgeless sword can pierce through tough armor, and boasts a deadly critical attack.<br><br>Skill: Shield Splitter<br>Aim carefully, and attack in a large forward lunge to pierce through enemy shields and inflict damage directly.
Greatsword	Dark Souls 3 Wiki	Weapons	Ultra Greatswords	This ultra greatsword, with its thick blade, is one of the heaviest of its kind.<br><br>Highly destructive if intolerably heavy.<br><br>There would appear to be some credence to the rumors that this sword tested the true limits of human strength.<br><br>Skill: Stomp<br>Use one's weight to lunge forward with a low stance and increased poise, and follow with strong attack for a spinning slash.
Brigand Axe	Dark Souls 3 Wiki	Weapons	Axes	Axe favored by brigands of a distant land. Surprisingly sturdy battle axe that requires more strength to wield than a standard axe.<br><br>Skill: Warcry<br>Let out a spirited warcry that temporarily boosts attack.
Old Wolf Curved Sword	Dark Souls 3 Wiki	Weapons	Curved Greatswords	Curved sword bearing the soul of the old wolf that stays with the Watchdogs of Farron.<br><br>This sword, like a wolf on the prowl, boosts attack and restores HP with each consecutive hit.<br><br>Skill: Wolf Leap<br>Slice into foes with a large spinning motion, then leap out of harm's way and follow through with a strong attack.
Short Bow	Dark Souls 3 Wiki	Weapons	Bows	Standard small bow. Its size allows for quick shots. <br><br>Arrows must be equipped in order to use bows. Up to two kinds of arrow can be equipped at a time, and these can be switched between as necessary.<br><br>Skill: Rapid Fire<br>Swiftly nocks arrows with finesse after drawing the bow, allowing for consecutive shots.
Red Hilted Halberd	Dark Souls 3 Wiki	Weapons	Halberds	Long-hilted weapon mixing spear and axe. The red-hilted halberd is associated with clerics.<br><br>Can be thrust like a spear or swept sideways like an axe, making it a versatile weapon effective against multiple foes.<br><br>Skill: Perseverance<br>Assume an unfaltering stance of prayer to temporarily boost poise. Damage reduced while activated.
White Birch Bow	Dark Souls 3 Wiki	Weapons	Bows	A short bow crafted with white birch. Endowed with light-manipulating magic.
Gotthard Twinswords	Dark Souls 3 Wiki	Weapons	Straight Swords	The hunters known as the King's Black Hands&nbsp;wielded paired weapons. These belonged to Gotthard, who fled the castle.
Scholar's Candlestick	Dark Souls 3 Wiki	Weapons	Daggers	A candlestick covered in ivory scales once used by the Scholars of the Great Archives.<br><br> This served as their guiding light, as well as a tool of self-restraint. Even today, wielders of this weapon benefit from the resulting sorcery-strengthening properties.<br><br>Skill: Guiding Light<br>A candle provides a temporary source of light which reveals additional guidance.&nbsp;
Heavy Crossbow	Dark Souls 3 Wiki	Weapons	Crossbows	A large, powerful crossbow. Must be readied before firing.<br><br>Bolts must be equipped in order to use crossbows.<br>Up to two kinds of bolts can be equipped at a time, and these can be switched as necessary<br><br>Skill: Tackle<br>Lunge into a shoulder tackle, pushing back enemies to create distance.
Lothric Knight Greatsword	Dark Souls 3 Wiki	Weapons	Ultra Greatswords	Ultra greatsword of the venerable knights of Lothric. Imbued with the strength of lightning, the trademark of dragon hunting.
Morion Blade	Dark Souls 3 Wiki	Weapons	Straight Swords	A twisted sword resembling the towers of&nbsp;Londor's Sable Church. Eight branching blades&nbsp;and thorns induce bleeding.<br><br>The church's blessing makes the weapon revel in&nbsp;the agony of its owner. Heavy losses of HP boost&nbsp;attack, a curse most befitting its deformed&nbsp;appearance.<br><br>Skill: Stance<br>While in stance, use normal attack to break a&nbsp;foe's guard from below, and a strong attack to slash&nbsp;upwards with a forward lunge.
Dark Sword	Dark Souls 3 Wiki	Weapons	Straight Swords	Pitch-black straight sword of the Darkwraith, survivor of the land swallowed by darkness.<br><br>The Darkwraiths were the first red orb invaders, and originators of a unique sword technique inspired by their thick, broad blades.<br><br>Skill: Stomp<br>Use one's weight to lunge forward with a low stance and increased poise, and follow with strong attack for an upward slash.
Greatsword of Judgment	Dark Souls 3 Wiki	Weapons	Greatswords	A ceremonial sword, held in Pontiff Sulyvahn's left hand, respresenting the judgement of the moon, but with magic far closer to sorcery than any existing lunar power. Its dark blue hues, deeper than the darkest moon, reflect sorcerer Sulyvahn's true nature.<br><br>Skill: Stance of Judgment<br>Assume stance to unleash dark magic. Use normal attack for a lunging thrust, and strong attack to emit side-sweeping wave.&nbsp;
Washing Pole	Dark Souls 3 Wiki	Weapons	Katanas	A stunning, unusually long katana forged in an eastern land. <br><br>The extreme length of this blade provides immense range, but also renders the blade extremely fragile.<br><br>Skill: Hold<br>Assume a holding stance to rapidly execute a lunging slash with normal attack, or a deflective parry with strong attack.
Dragonrider Bow	Dark Souls 3 Wiki	Weapons	Bows	Longbow of the Dragonriders, who served the Old King of Want. <br><br>The Dragonriders were the Old King's royal guard, and great strength was demanded of them. Merely drawing this bow calls for inhuman strength. The worthy few who can master this bow, however, use it to devastating effect.<br><br>Skill: Puncture<br>Pull the arrow even further back for a more powerful shot that can also pierce shields.
Eleonora	Dark Souls 3 Wiki	Weapons	Axes	A strange weapon found among malformed inhabitants of the Profaned Capital.<br><br>The Profaned Flame was triggered by the curse of these women, relatives of a certain oracle, but despite their culpability, they went on living, without any cares.<br><br>Skill: Feast Bell<br>Hold up axe and wave to emit a solemn chime to temporarily make weapons lacerating, and to restore HP for each hit.
Winged Knight Twinaxes	Dark Souls 3 Wiki	Weapons	Axes	Paired beheading axes wielded by the Winged Knights, who swore themselves to the Angels.<br><br>These axes, more befitting of an executioner than a knight, are indented to fit the human body.<br><br>Skill: Chain Spin<br>Sweep foes in a large spinning motion and use strong attack to continue the motion until stamina is exhausted.<br><br>
Preacher's Right Arm	Dark Souls 3 Wiki	Weapons	Staves	The dessicated right hand of a white-faced locust that rose from the abyssal swamp, that happens to perform as a catalyst for sorcery.
Wolf Knight's Greatsword	Dark Souls 3 Wiki	Weapons	Greatswords	Greatsword of a knight&nbsp;tainted by the dark of the Abyss, and master of the wolf's blood of Farron. <br><br>The wolf knight was the first Abyss Watcher, and his sword is more punishing against creations of the abyss. <br><br>Skill: Wolf Sword <br>While in stance, use normal attack for a low spinning slash, or the strong attack to leap forward in a vertically-slashing somersault.
Glaive	Dark Souls 3 Wiki	Weapons	Halberds	This halberd with a large blade was a scythe refitted for battle.<br><br>Designed for slicing, and inflicts slash damage.<br><br>Skill: Spin Sweep<br>Sweep foes in a large spinning motion, and utilize momentum to transition into an overhanded strong attack smash.
