item	site	category	subcategory	description
Gargoyle's Shield	Dark Souls Wiki	Shields	Standard Shields	"""Bronze shield of the gargoyle guarding the Bell of Awakening in the Undead Church.""
""The gargoyle's skin is tough by itself, and perhaps its shield may have been a prop,
for it is a rare example of a metal shield that does not reduce physical damage 100%.""
"
Crystal Ring Shield	Dark Souls Wiki	Shields	Small Shields	"""Weapon born from the mystical creature of the Darkroot Garden, the Moonlight Butterfly.
Imbued with a powerful crystal power, like the butterfly created by Seath the Scaleless. Can emit crystal light rings.""
"
Stone Greatshield	Dark Souls Wiki	Shields	Greatshields	"""Mossy round greatshield used by the guardian of the Darkroot garden, the Stone Knight.""
""The Stone Knight is a creation of ancient magic, and this shield is imbued with the same power, but is also extremely heavy.""
"
Large Leather Shield	Dark Souls Wiki	Shields	Standard Shields	"""Large, leather-covered round shield. Choice shield for hunters.""
""Wood shields are lighter than metal shields, but with lower physical damage reductions, and reduced shield stability.""
"
Small Leather Shield	Dark Souls Wiki	Shields	Small Shields	"""Small, leather-covered round shield, reinforced in critical spots with metal.
Small shields are always less stable, but landing critical hits after parry is easier.""
"
Warrior's Round Shield	Dark Souls Wiki	Shields	Small Shields	"""Round wooden shield crafted in Lordran. Decorated with the ancient Labrys axe.
The giant trees in Lordran are distant offspring of the great stone archtrees. This shield inherits their properties, and the wood reduces magic damage.""
"
Hollow Soldier Shield	Dark Souls Wiki	Shields	Standard Shields	"tal shield wielded by Hollow soldiers. Heavily rusted but sturdy, providing a strong defense""
"
Tower Shield	Dark Souls Wiki	Shields	Greatshields	"""Metal Greatshield. Used by the Knight Berenike, known for his heavy armour.
This plate of iron is heavily defensive but ultra heavy. Greatshields are very stable, and deflect attacks. However, one cannot parry, and instead bashes with the shield.""
"
Bonewheel Shield	Dark Souls Wiki	Shields	Greatshields	"""Giant wooden wheel encircled by spikes.
Half-melded to a strange skeleton""
""Can be used as a great shield, only for the great gaps. But at least the spikes turn into weapons with a good spin. Strange indeed!""
"
East-West Shield	Dark Souls Wiki	Shields	Standard Shields	"""A wooden kite shaped shield. It is decorated with the ancient symbol of a double-headed eagle, painted yellow.""
""Wooden shields are lighter than metal shields, but with lower physical damage reduction, and reduced shield stability.""
"
Buckler	Dark Souls Wiki	Shields	Small Shields	"""Very small round metal shield. Parry attacks with large center protrusion.
Small shields are always less stable, but landing critical hits after parry is easier. This shield is specialized for parrying.""
"
Caduceus Kite Shield	Dark Souls Wiki	Shields	Standard Shields	"""Medium metal shield. Decorated by an ancient blue Caduceus. A standard, widely-used shield.""
"
Iron Round Shield	Dark Souls Wiki	Shields	Standard Shields	"""Thick iron shield of Shiva of the East. Heaviest of the standard shields. Deflects enemy attacks.
A famous specimen from Shiva's collection, but none who have faced it have lived to tell the tale..""
"
Spider Shield	Dark Souls Wiki	Shields	Standard Shields	"""Shield of the savage mountain bandits. Uniquely-shaped with a large black spider etched upon it.""
""Has resistance to poison.""
"
Crystal Shield	Dark Souls Wiki	Shields	Standard Shields	"""A fully crystallized straight shield. How such a weapon was created is entirely unknown.""
""The crystallization boosts its defense, but makes the shield brittle. The shield cannot be used for long, as it cannot be repaired.""
"
Cleansing Greatshield	Dark Souls Wiki	Shields	Greatshields	"""The steel greatshield used by Knight Artorias, who succumbed to the Abyss. Artorias, deeply scarred by the Abyss, used this to form a barrier to protect his compatriot Sif. Although this drained the shield, its magic defense remains high.""
"
Target Shield	Dark Souls Wiki	Shields	Small Shields	"""Small round metal shield. Four protrusions used to parry attacks.
Small shields are always less stable, but landing critical hits after parry is easier. This shield is specialized for parrying.""
"
Spiked Shield	Dark Souls Wiki	Shields	Standard Shields	"""Shield of the infamous Darkwraith Kirk, Knight of Thorns. Covered with spikes.""
""Can be used as a weapon. Sharp spikes cause heavy bleeding.""
"
Knight Shield	Dark Souls Wiki	Shields	Standard Shields	"""This medium metal shield is elegantly carved and painted.""
""Although it is thought to have been used by ancient knights of nobility, its defense and capabilities are similar to other shields.""
"
Caduceus Round Shield	Dark Souls Wiki	Shields	Small Shields	"""Round wooden shield crafted in Lordran. Decorated by an ancient blue Caduceus.
The giant trees in Lordran are distant offspring of the great stone archtrees. This shield inherits their properites, and the wood greatly reduces magic damage.""
"
Greatshield of Artorias	Dark Souls Wiki	Shields	Greatshields	"""Shield born from the soul of the great grey wolf Sif, guardian of the grave of the Abysswalker Knight Artorias.""
""Boasts consistent defense and divine protection against various status effects.""
"
Balder Shield	Dark Souls Wiki	Shields	Standard Shields	"""Shield of the knights of the ancient kingdom of Balder. Tweaked for improved stability.
Balder was the home of Knight King Rendal, but the kingdom was reduced to ruins after a widespread outbreak of Undead""
"
Wooden Shield	Dark Souls Wiki	Shields	Standard Shields	"""Vertically elongated wooden shield. Decorated with a white dragon.
""Wood shields are lighter than metal shields, but with lower physical damage reduction, and reduced shield stability.""
"
Eagle Shield	Dark Souls Wiki	Shields	Greatshields	"""Greatshield with an eagle design. Lightest and easiest greatshield to handle.""
""Greatshields are very stable, and deflect attacks. But one cannot parry, and instead bashes with the shield.""
"
Tower Kite Shield	Dark Souls Wiki	Shields	Standard Shields	"""Medium metal shield. Decorated with a tower, the symbol of protection. A standard, widely-used shield.""
"
Red & White Round Shield	Dark Souls Wiki	Shields	Small Shields	"""Round wooden shield crafted in Lordran featuring an impressive red and white design.
The giant trees in Lordran are distant offspring of the great stone archtrees. This shield inherits their properties, and the wood greatly reduces magic damage.""
"
Bloodshield	Dark Souls Wiki	Shields	Standard Shields	"""The bloodshield spoken of in the lost legends. The red blood is slightly enchanted, and boost various resistances.""
"
Black Iron Greatshield	Dark Souls Wiki	Shields	Greatshields	"""Greatshield of the might knight Tarkus""
""Built of special black iron and even heavier than Knight Berenike's tower shield. Especially resistant to fire attacks and effective for shield bashing.""
"
Pierce Shield	Dark Souls Wiki	Shields	Standard Shields	"""Shield of certain knights of Catarina, used in attacks with a large protrusion in the center.""
""Can be used as a thrust weapon.""
"
Black Knight Shield	Dark Souls Wiki	Shields	Standard Shields	"""Shield of the Black Knights that wander Lordan. A flowing canal is chiseled deeply into its face.""
""Long ago, the black knights faced the chaos demons, and were charred black, but their shields became highly resistant to fire.""
"
Crest Shield	Dark Souls Wiki	Shields	Standard Shields	"""Shield of a nameless knight, likely a high-ranking knight of Astora.""
""One of the enchanted blue shields. The Crest Shield greatly reduces magic damage.""
"
Sunlight Shield	Dark Souls Wiki	Shields	Standard Shields	"""Shield of Solaire of Astora, Knight of Sunlight. Decorated with a holy symbol, but Solaire illustrated it himself, and it has no divine powers of its own.
As it turns out, Solaire's incredible prowess is a product of his own training, and nothing else.""
"
