item	site	category	subcategory	description
Gold-Pickled Fowl Foot	Elden Ring Wiki	Items	Consumables	"Four-toed foot of a fowl, pickled in a golden medicinal solution. Craftable item.
Boosts the amount of runes obtained from defeating enemies for a certain duration.
Since old times, the needy would scrape the meat clean even from a fowl's claw.
"
Larval Tear	Elden Ring Wiki	Items	Key Items	"Core of a creature of mimicry known as a silver tear.
As much as a substance as it is a living organism.
Material required by the amber egg cradled by Rennala, Queen of the Full Moon, to birth people anew.
Being born anew allows the reallocation of attributes boosted by leveling up.
"
Invigorating White Cured Meat	Elden Ring Wiki	Items	Consumables	"A white sliced meat, dried out after pickling in a red medicinal solution.Craftable item.
Temporarily boosts robustness.
Lasts longer than traditional cured meat, but with reduced effectiveness.
"
Rowa Raisin	Elden Ring Wiki	Items	Consumables	"Preparation of dried Rowa fruit.
 Craftable item.
Feed to Torrent, the spectral steed, while riding to restore his HP.
Humans are unable to digest Rowa fruit, but Torrent seems to have a taste for it.
"
Beastlure Pot	Elden Ring Wiki	Items	Consumables	"Craftable item prepared using a ritual pot. Enchanted with assassin incantations. Consumes FP. Throw to create a red shadow. The illusion lures in beasts into attacking it. This effect does not change even during combat. 
"
Poison Pot	Elden Ring Wiki	Items	Consumables	"Craftable item prepared using a cracked pot. A cocktail of poisonous materials is sealed inside. Throw at enemies to cause buildup of poison. 
"
Trina's Lily	Elden Ring Wiki	Items	Materials	"A pale purple water lily that is on the verge of wilting.Material used for crafting items.Exceedingly rare to find.A symbol of faith in St. Trina.Dulls the senses, preventing agitation.
"
Valkyrie's Prosthesis	Elden Ring Wiki	Items	Key Items	"Golden prosthesis once used by the one-armed valkyrie. A masterwork of craftsmanship, with practice and skill it can be used as proficiently as a real arm.
When Maleigh Marais, Lord of the Shaded Castle, embraced this prosthesis, he claimed to feel the presence of his personal goddess.
"
Godrick's Great Rune	Elden Ring Wiki	Items	Great Runes	"A Great Rune of the shardbearer Godrick.
Its blessing raises all attributes
This Great Rune is known as the anchor ring, found in the center of the Elden Ring.
The first demigods were The Elden Lord Godfrey and his offspring, the golden lineage.
"
Malenia's Great Rune	Elden Ring Wiki	Items	Great Runes	"A Great Rune of the shardbearer Malenia.The blessing of this half-rotted rune reduces the healing power of Flask of Crimson Tears.
And yet, due to the infusion of Malenia's spirit of resistance. attacks made immediately after receiving damage will partially recover HP.
Malenia is daughter to Queen Marika and Radagon, and her Great Rune should have been the most sacred of all.
"
Holy Water Grease	Elden Ring Wiki	Items	Consumables	"Grease which holds the blessing of the Erdtree. 
Craftable item.
Consumes FP when coated on weapon, allowing 
it to deal magical damage and purify those who 
have lived beyond death.
There is no place in the Golden Order for those 
who have exceeded life's bounds. These blemishes 
must be hunted down by the Virtuous.
"
Magic Pot	Elden Ring Wiki	Items	Consumables	"Craftable item prepared using a cracked pot.A cocktail of magically resonant materials is sealed inside, and a short rope that aids throwing has been secured around the pot.Called a ""faux sorcery"" in Raya Lucaria.Consumes FP. Throw at enemies to inflict magic damage
"
Spellproof Dried Liver	Elden Ring Wiki	Items	Consumables	"Cured animal liver, dried out after pickling in a blue medicinal solution. Craftable item.
Temporarily boosts magic damage negation, improving damage mitigation against attacks imbued with magic.
"
Bloodrose	Elden Ring Wiki	Items	Materials	"Blood-slick roses that bloom in festering blood.Material used for crafting items.
Particularly beloved by those who serve the Lord of Blood. Glory to his inevitable reign.
"
Dark Moon Ring	Elden Ring Wiki	Items	Key Items	"Ring depicting a leaden full moon. Symbolic of a cold oath, the ring is supposed to be given by Lunar Princess Ranni to her consort.
Ranni is an Empyrean, meaning her consort would by rights earn the title of lord.
A warning is engraved within; ""Whoever thou mayest be, take not the ring from this place, the solitude beyond the night is better mine alone.""
"
Red-Hot Whetblade	Elden Ring Wiki	Items	Whetblades	"Red-hot whetblade with a cipher engraved. Can be used as a whetstone knife.
When applying an affinity using physical or flame-type ashes of war, an additional affinity of fire or flame art can be chosen.
"
Poison Grease	Elden Ring Wiki	Items	Consumables	"Solidified grease made from a mixture of poison-green materials. Craftable item.
Coats armament, inflicting poison.The effect lasts only for a short time.
"
Immunizing White Cured Meat	Elden Ring Wiki	Items	Consumables	"A white sliced meat, dried out after pickling in a green medicinal solution.Craftable item.
Temporarily boosts immunity.
Lasts longer than traditional cured meat, but with reduced effectiveness. 
"
Exalted Flesh	Elden Ring Wiki	Items	Consumables	"A lump of animal flesh pickled in a medicinal solution mixed with fiery spices. Craftable item.
Temporarily boosts physical attack.
Considered a delicacy in the badlands, this invigorating repast was for the exclusive benefit of those who they deem heroes.
"
Grace Mimic	Elden Ring Wiki	Items	Multiplayer Items	"A fetish indicating the guidance of grace.
Craftable item.
Similar to grace, this fetish draws rays guiding the way, only 
without any sense of order.
Useful as a last resort for those who have lost their way, or for use 
by those who believe that unrefined guidance will lead to truer 
encounters.
"
Rejuvenating Boluses	Elden Ring Wiki	Items	Consumables	"Black boluses made of cave moss.Craftable item.
Alleviates death blight buildup.
Blight accumulates slowly, causing instant death once the threshold is reached. 
Take one of these in timely fashion to avoid such an event.
"
Crystal Cave Moss	Elden Ring Wiki	Items	Materials	"Faintly luminescent moss that grows in dark caves, laced with fine crystals.Material used for crafting items.
Among mosses, it possesses unique medicinal properties.
"
Dectus Medallion (Left)	Elden Ring Wiki	Items	Key Items	"Left half of a split medallion depicting the Erdtree.
Brandishing the medallion with both halves conjoined will activate the Grand Life of Dectus, connecting the Altus Plateau to Liurnia.
The right half is said to reside in Fort Faroth in the Dragonbarrow, far to the east.
"
Yellow Ember	Elden Ring Wiki	Items	Materials	"An ember taken from an eye socket of a corpse.Material used for crafting items.
A sign that the deceased suffered from the flame of frenzy. This grape has ripened and burst.
"
Pureblood Knight's Medal	Elden Ring Wiki	Items	Tools	"Proof that one is a glorious knight of the new Dynasty of Mohgwyn that the Lord of Blood will inaugurate.
Use to be granted audience with Mohg. Only, it is not yet time.
For Mohg yet slumbers beside the Divinity.Be Patient. The new dynasty is nigh.
"
Sellen's Primal Glintstone	Elden Ring Wiki	Items	Key Items	"Glintstone from within the sorceress Sellen's body.Seemingly half-alive, blood vessels are visible within.In essence, a primal glintstone is a sorcerer's soul.If transplanted into a compatible new body after their original body dies, the sorcerer will rise again.""My apprentice, do you think it distasteful?""
"
Telescope	Elden Ring Wiki	Items	Key Items	"Astrology tool used by members of the Carian royal family.
 A stolen part of a larger instrument.
Allows the viewer to better see faraway things.
During the age of the Erdtree, Carian astrology withered on the vine. 
The fate once writ in the night skies had been fettered by the Golden Order.
"
Remembrance of the Naturalborn	Elden Ring Wiki	Items	Rememberances	"Remembrance of Astel, Naturalborn of the Void, hewn into the Erdtree. 
The power of its namesake can be unlocked by the Finger Reader.Alternatively, it can be used to gain a great bounty of runes.
A malformed star born in the flightless void far away. Once destroyed an Eternal City and took away their sky. A falling star of ill omen.
"
Thin Beast Bones	Elden Ring Wiki	Items	Materials	"Thin, hard beast bones.Material used for crafting items.Found by hunting beasts.
Commonly used to make disposable weapons.
"
Grave Violet	Elden Ring Wiki	Items	Crafting	"A purple flower that blooms in graveyards.Material used for crafting items.
The hue of ghostflame, it's believed to be useful in calling forth spirits.
"
