item	site	category	subcategory	description
Astrologer's Staff	Elden Ring Wiki	Weapons	Glintstone Staffs	"Staff of the astrologers. A glintsone is embedded in the tip, enabling it to be used as a catalyst for sorceries. Sorceries must be memorized first at a site of lost grace, and a staff must be equipped to cast them. 
"
Axe of Godfrey	Elden Ring Wiki	Weapons	Colossal Weapons	"Weapon of Godfrey, Elden Lord. It was broken in a battle fought as leader of the Tarnished during the Long March. This weapon is symbolic of Godfrey's vow to conduct himself as a lord, later becoming an emblem of the golden lineage. In the days of the past, a crown was warranted with strength. 
"
Light Crossbow	Elden Ring Wiki	Weapons	Crossbows	"Ranged weapoon made from a bow fixed to a stock. Deals gooddamage and is simple to use, but requires reloading after firing.
Bolts must be equipped to use a crossbow.
"
Iron Spear	Elden Ring Wiki	Weapons	Spears	"Commonly used iron spear with no notable traits.The blade is severely rusted.
"
Meteorite Staff	Elden Ring Wiki	Weapons	Glintstone Staffs	"Staff embedded with a dark purple glintstone, said to be the fragment of a meteorite. Boasts high sorcery scaling and boosts gravity sorceries as well.However, this staff cannot be strengthened in any way.
"
Beast-Repellent Torch	Elden Ring Wiki	Weapons	Torches	"A torch which burns oil infused with a special incense. The aroma pacifies wild beasts. Torches such as these were used to keep unwelcome beasts away from treasure troves hidden in caves. 
"
Soldier's Crossbow	Elden Ring Wiki	Weapons	Crossbows	"A crossbow of simple make, usable by anyone, but lacking in both
power and accuracy.
Bolts must be equipped to use a crossbow.
"
Golden Order Greatsword	Elden Ring Wiki	Weapons	Greatswords	"Greatsword made of light, modeled after the Elden Ring itself. Forged by King Consort Radagon to proudly symbolize the tenets of the Golden Order. One of the legendary armaments. Telltale signs betray that this was once the greatsword bequeathed to him by his first wife, Rennala. 
"
Claymore	Elden Ring Wiki	Weapons	Greatswords	"A large sword with a long, straight blade. This heavy sword is usually wielded with two hands, but for those with enough strength, one is sufficient.
In addition to the heavy sweeping attacks, it can also make a heavy piercing thrust making this a versatile weapon.
"
Partisan	Elden Ring Wiki	Weapons	Spears	"Spear with a wide tip.
In addition to its thrusting attacks, this highly versatile weapon can be swung to sweep through foes.
"
Family Heads	Elden Ring Wiki	Weapons	Flails	"Three bludgeoning copper heads attached to a handle by chains. Signature weapon of Necromancer Garris, the heretical sage.The heads were made to resemble those of his wife and two children.
"
Sword of St Trina	Elden Ring Wiki	Weapons	Straight Swords	"Silver sword carried by clerics of St. Trina. Inflicts sleep ailment upon foes. St. Trina is an enigmatic figure. Some say she is a comely young girl, others are sure he is a boy. The only certainty is that their appearance was as sudden as their disappearance. 
"
Serpent Bow	Elden Ring Wiki	Weapons	Bows	"Malformed bow in the shape of a pair of poisonous snakes. Imbues arrows with poison through pagan magic, revealing its true worth when used with poison-infused arrows. Used by assassins known as the Formless Serpents. 
"
St Trina's Torch	Elden Ring Wiki	Weapons	Torches	"Candlestand torch that burns with a light-purple flame. The carvings depict St. Trina, but in adult form, somewhat unnervingly. 
The light-purple flame induces sleep.
"
Miquellan Knight's Sword	Elden Ring Wiki	Weapons	Straight Swords	"Sword forged by servants of Miquella of the Haligtree, with a design modeled after those carried by Carian knights. Instead of glintstone however, amber from the Haligtree is embedded in the blade. A sumptuous piece, yet it has never been offered to any knight — an ill-starred sword with no master. Skill: Sacred Blade 
"
Erdsteel Dagger	Elden Ring Wiki	Weapons	Daggers	"An erdsteel dagger with a grass crest engraved upon its blade. Carried by the Erdtree royalty for self-defense in times of peace. 
Though forged to a high standard, the weapon is difficult to wield. Attack power also scales with faith. 
"
Nightrider Flail	Elden Ring Wiki	Weapons	Flails	"A flail with two additional bludgeoning heads.  Weapon of the Night's Cavalry who ride funeral steeds.
The large spikes make it highly effective at inducing blood loss, but also demand higher dexterity to wield.
"
Great Epee	Elden Ring Wiki	Weapons	Heavy Thrusting Swords	"Large rapier featuring a thin, sharp blade. Commonly used in life or death duels.Like its smaller counterparts, its made for thrusting attacks, and can be used while guarding with a shield. 
"
Ornamental Straight Sword	Elden Ring Wiki	Weapons	Straight Swords	"Slender straight sword patterned after an antique ornament.Superior swordsmen prefer to wield one in each hand.
After falling from grace, the dregs of the golden lineage sought power and purpose in the past.
"
Rotten Crystal Sword	Elden Ring Wiki	Weapons	Straight Swords	"Sword fashioned from pure crystal; a deed impossible for a human.It festers with scarlet rot.
Enwreathed with powerful magic, its attack scales with intelligence.
"
Fallingstar Beast Jaw	Elden Ring Wiki	Weapons	Colossal Weapons	"Part of a Falling star Beast's jaw, hard and shining black, fashioned into a weapon. 
With its sharp point, this colossal weapon can skewer foes. 
"
Devourer's Scepter	Elden Ring Wiki	Weapons	Great Hammers	"Scepter in the shape of a serpent devouring the world. Thisweapon will one day become the very symbol of the Lord of Blasphemy.One of the legendary armaments.
A vision of the future briefly seen by Rykard in his final momentsbefore being devoured by the great serpent.
"
Greatsword	Elden Ring Wiki	Weapons	Colossal Swords	"A coarse iron lump of an ultra greatsword.
Mows down foes by utilizing its incredible weight.
Though handling it likely requires the wielder to have surpassed the realm of the merely human, 
it is precisely for this reason the weapon is used to slaughter even inhuman foes.
"
Scythe	Elden Ring Wiki	Weapons	Reapers	"Large scythe featuring a long, slender blade. Designed to reap, this weapon is capable of rapidly inflicting blood loss while also slipping through an enemy's guard. 
In the hands of a highly dexterous wielder it is capable of striking fear into the heart of any foe.
"
Sacrificial Axe	Elden Ring Wiki	Weapons	Axes	"Hatchet used in ancient sacrificial rite. A Deathbird is depicted as a malevolent deity.
The power of the rite yet lingers. A small amount of FP is restored upon slaying a foe.
"
Serpent-Hunter	Elden Ring Wiki	Weapons	Great Spears	"Weapon that serves as both greatsword and spear. Thought tohave been used to hunt an immortal great serpent in the distantpast, it manifests a long blade of light when facing such a creature.
When their master's heroic aspirations degenerated into meregreed, his men searched for a weapon with which they might halttheir lord.
"
Bandit's Curved Sword	Elden Ring Wiki	Weapons	Curved Swords	"Curved sword with a light, crescent-shaped blade.
Used by the bandits who ran rampant in the wake of the Shattering.
Most of the blade is now darkened and covered in rust, but with enough dexterity this weapon may still stand up to some use.
"
Lordsworn's Straight Sword	Elden Ring Wiki	Weapons	Straight Swords	"Well-crafted straight sword with an illustrious design, wielded by regulars of a lord's army.
Though blackened and damaged by years of use, it appears to have otherwise been kept in a servicable condition, despite the soldiers having long since lost their minds.
"
Curved Great Club	Elden Ring Wiki	Weapons	Great Hammers	"Large curved club of hard wood, shaped like a crescent moon.
Wielded by Albinaurics lacking the dexterity demanded by a curved sword, and who prefer the added weight and destructive force.
"
Giant's Seal	Elden Ring Wiki	Weapons	Sacred Seals	"Sacred seal depicting the one eyed god of the Fire Giants, adorned with braids of red hair.
Sacred seal wielded by Fire Monks and Prelates, this catalyst enhances Giants' Flame incantations. 
"
Pest's Glaive	Elden Ring Wiki	Weapons	Halberds	"Glaive made from a hard, sharpened shell. Wielded by the pests who emerged from the Swamp of Aeonia. Slightly increases non-physical damage negation. Though men might recognize the keen intellect of the pests evidenced by this spear's uncanny design, it will never be understood by them. 
"
Pulley Crossbow	Elden Ring Wiki	Weapons	Crossbows	"Crossbow made with pulleys and power springs. The complex mechanism, which required advanced mathematical and mechanical understanding to craft, was likely made by a certain genius who learned Golden Order fundamentalism. 
One touch fires a volley of bolts. Be warned; large stores of bolts can be quickly spent.
"
Bastard Sword	Elden Ring Wiki	Weapons	Greatswords	"A large sword with a straight blade.This heavy sword is normally wielded with two hands, but those with sufficient strength can wield it in one alone.The hefty blade can be swung into multiple foes at once thanks to the broad, sweeping attack, making fending off crowds all the easier.
"
Thorned Whip	Elden Ring Wiki	Weapons	Whips	"Hefty whip coverd in crimson thorns. Weapon of the Prelates who lead the Fire Monks. A device of fearsome religious encouragement, it is fashioned in the image of the briars of sin.
Very effective at inflicting blood loss.
"
Varre's Bouquet	Elden Ring Wiki	Weapons	Hammers	"A steel mace resembling a charming bouquet of roses. Each petal has a sharpened edge, leaving the roses perpetually colored with blood.
This weapon reflects White Mask Varré's manner of speech rather well, enticing in its splendor, but full of deadly consequence.
"
Chainlink Flail	Elden Ring Wiki	Weapons	Flails	"A spiked iron tube attached by a chain wielded by Mad Pumpkin Heads.
Especially large for a flail, wielding it requires more strength than it does dexterity.
"
Siluria's Tree	Elden Ring Wiki	Weapons	Great Spears	"Siluria's Tree, weapon of one of the two honored as foremost among the Crucible Knights. The primordial form of the Erdtree is close in nature to life itself, and this spear, modeled on its crucible, is imbued with ancient holy essence.
"
Crystal Sword	Elden Ring Wiki	Weapons	Straight Swords	"Sword fashioned from pure crystal; a deed impossible for a human. Enwreathed with powerful magic, its attack scales with intelligence. The inscrutable Crystalians have but one clear purpose; to safeguard their crystals unto the end. One theory posits that they yearn for the return of their creator who will carve for them new brethren. 
"
Morning Star	Elden Ring Wiki	Weapons	Hammers	"Battle hammer comprised of a globe attached to a handle. Though a bludgeon dealing strike damage, the appellative star is covered in spikes which cause blood loss.
Ironic given its graceful name, this weapon often reeks of blood.
"
Knight's Greatsword	Elden Ring Wiki	Weapons	Greatswords	"Greatsword bestowed upon skilled swordsmen in the demigods' service, and yet had no rank or title.
Featuring a long grip enabling a dual-handed use, this weapon was designed to dispatch larger foes. Being charged with such a duty was undoubtedly a great honor.
"
Crystal Staff	Elden Ring Wiki	Weapons	Glintstone Staffs	
Forked Hatchet	Elden Ring Wiki	Weapons	Axes	"Peculiar hatchet wielded by imps. 
The gently undulating forked blade is known as an ""imp's tongue"" and causes blood loss.
"
Greatbow	Elden Ring Wiki	Weapons	Greatbows	"Enormous greatbow larger than any man. Can not be drawn with any ordinary level of strength, but the force of its shots is extraordinary. A greatbow can only fire great arrows. 
"
Rotten Crystal Staff	Elden Ring Wiki	Weapons	Glintstone Staffs	"Staff fashioned from pure crystal; a deed impossible for a human. It festers with scarlet rot.
Enhances Crystalian sorceries.
"
Cleanrot Knight's Sword	Elden Ring Wiki	Weapons	Thrusting Swords	"Piercing sword of the Cleanrot Knights who fought alongside
Malenia, Blade of Miquella.
Mainly used as a backup weapon, in combination with a long-
handled armament.
"
Rivers of Blood	Elden Ring Wiki	Weapons	Katanas	"Weapon of Okina, swordsman from the Land of Reeds.A cursed weapon that has felled countless men.
When Mohg, the Lord of Blood, first felt Okina's sword, and madness, upon his flesh, he had a proposal, to offer Okina the life of a demon, whose thirst would never go unsated.
"
Battle Axe	Elden Ring Wiki	Weapons	Axes	"A thick, heavy blade attached to a handle. A versatile, standard weaponCapable of powerful attacks thanks to the weighty blade, these weapons are also regarded for their powerful charge attacks.
"
Digger's Staff	Elden Ring Wiki	Weapons	Glintstone Staffs	"Staff of a sorcerer-miner who extracts glintstone from crystal tunnels. The staff itself is a tool used to mine, and the ferrule is also embedded with a glintstone. 
Boosts the power of Stonedigger sorceries
"
Monk's Flamemace	Elden Ring Wiki	Weapons	Hammers	"Battle hammer made to resemble flickering flames. Signature weapon of the Fire Monks, who hail from the Mountaintops of the Giants. 
The unique strong attack rouses fiery combative spirit.
"
Pickaxe	Elden Ring Wiki	Weapons	Great Hammers	"Large pickaxe designed to crack thick bedrock. Tool of sturdy miners.
Not originally designed as a weapon, but very adept at piercing armor.
""Little wretches, do you think your armor harder than stone?""
"
Ripple Crescent Halberd	Elden Ring Wiki	Weapons	Halberds	"Weapon wielded by young Albinaurics.
The blade is said to resemble a partial image of a ripple, and its attack power scales with one's arcane attribute.
"
Duelist Greataxe	Elden Ring Wiki	Weapons	Colossal Weapons	"Greataxe designed for gladiatorial combat. Used by duelists who were exiled from the colosseum.A weapon reserved for duelist champions, the charge attack is particularly ferocious.
"
Bloodhound Claws	Elden Ring Wiki	Weapons	Claws	"Large curved claws used by Bloodhound Knights.
The curve allows the weapon to slip through an enemy's guard.
"
Glintstone Staff	Elden Ring Wiki	Weapons	Glintstone Staffs	"Staff with a glintstone embedded at the tip. A catalyst for casting sorceries. 
Sorceries must be memorized first at a site of lost grace, and a staff must be equipped to cast them.
"
Crystal Spear	Elden Ring Wiki	Weapons	Spears	"Spear fashioned from pure crystal; a deed impossible for a human.Enwreathed with powerful magic, its attack scales with intelligence.
The inscrutable Crystalians have but one clear purpose; to safeguard their crystals unto the end. One theory posits that they yearn for the return of their creator who will carve for them new brethren.
"
Stormhawk Axe	Elden Ring Wiki	Weapons	Axes	"Battle axe designed to resemble a hawk, with its wings comprising the blade. Signature weapon of warriors who strive to remain one with the storm, despite being so far from their place of birth.
Their hearts are proud, and thereby easily undone.
"
Gargoyle's Great Axe	Elden Ring Wiki	Weapons	Greataxes	"Bronze greataxe wielded by Valiant Gargoyles.
Just like the wielder, the missing parts have been mended with corpse wax; a patchwork of champions.
"
Royal Greatsword	Elden Ring Wiki	Weapons	Colossal Swords	"Greatsword decorated in royal Carian Style. Favored weapon of Blaidd the Half-Wolf.
In defiance of the fate he was born to, Blaidd swore to serve no master but Ranni. As proof. the sword was imbued with a cold magic at the moment oath was sworn.
"
Rotten Battle Hammer	Elden Ring Wiki	Weapons	Great Hammers	"Large iron great hammer designed for gladiatorial combat, now festering with scarlet rot. Weighty enough to crush armor and its wearer alike. Skill: Braggart's Roar Declare your presence with a boastful roar. Raises attack power, defense, and stamina recovery speed. 
"
Steel-Wire Torch	Elden Ring Wiki	Weapons	Torches	"Torch wound with metal wire. The flame can illuminate dark locales, or be used to attack enemies. Heavier than a normal torch, but the heated filament boosts fire damage dealt. 
"
Greathorn Hammer	Elden Ring Wiki	Weapons	Great Hammers	"Huge thick horn carved with tree ring-like markings adapted into a bludgeoning weapon. Wielded by ancestral follower warriors.
The ancient horn is imbued with the power of ancestral spirits. A small amount of HP is restored upon defeating an enemy. 
"
Misericorde	Elden Ring Wiki	Weapons	Daggers	"Dagger favored by military physicians in white. The pointed blade is hard and sharp, making critical hits especially potent. 
Medicine is mercy. and mercy upon the battlefield is ruthless. Beware the killers clothes as men of compassion
"
Crystal Knife	Elden Ring Wiki	Weapons	Daggers	"A knife made by sharpening hard crystal.Signature weapon of glintstone miners. 
Used as a tool to extract glintstone from broken rock, and as such a faint magic enwreathes the blade.
"
Greataxe	Elden Ring Wiki	Weapons	Greataxes	"Greataxe akin to a huge lump of iron. Recognized as the weapon of choice of badland chieftains.Too heavy to be wielded by those of merely ordinary strength, blows from this axe will flatten enemies, and the force of its charged attack is a sight to behold.
"
Scorpion's Stinger	Elden Ring Wiki	Weapons	Daggers	"Dagger fashioned from a great scorpion's tail, glistening with scarlet rot.
A ceremonial tool used by heretics, crafted from the relic of a sealed outer god.
"
Frozen Needle	Elden Ring Wiki	Weapons	Thrusting Swords	"A razor-thin piercing blade of ice.Forged by Ijii, the carian Royal Blackmith.
Can inflict frost upon enemies, and launch its blade with a strong attack.  The blade immediately regenerates. 
"
Sentry's Torch	Elden Ring Wiki	Weapons	Torches	"Torch Given to protectors of the Erdtree. Its flames are bestowed with a special incantation which allows the bearer to see assassins cloaked in veils. Furnished on behalf of the Erdtree and the Grace-Given Lord such that a Night of Black Knives will never come again.
"
Scimitar	Elden Ring Wiki	Weapons	Curved Swords	"A curved sword with a single-sided blade.
Delivers slashing attacks with its sharp blade, but is ineffective against armor and hides covered in tough scales.
Smaller in size than most curved swords, it carves into enemies with quick, sharp cuts.
"
Heavy Crossbow	Elden Ring Wiki	Weapons	Crossbows	"Heavy crossbow with iron limbs, increasing damage dealt.
Commonly employed in the Shattering.
"
Carian Regal Scepter	Elden Ring Wiki	Weapons	Glintstone Staffs	"Magic scepter of Rennala, Queen of the Full Moon. The 
glintstone is known as a Carian Blue, enhancing full moon 
sorceries.
Only those of the highest intelligence may wield this, the finest of 
all glintstone staves.
"
Torchpole	Elden Ring Wiki	Weapons	Spears	"Torch fastened to a long pole. Lights up dark areas, but cannot be
raised overhead.
Used by soldiers on watch, its attacks set foes aflame.
"
Raptor Talons	Elden Ring Wiki	Weapons	Claws	"Claw comprised of two sharp, thin blades, wielded by the assassins of Ravenmount, this weapon allows them to imitate the attacks of Deathbirds.
Besides excelling at airborne attacks, its charge attack mimics the vicious swoop of a bird of prey. 
"
Troll Knight's Sword	Elden Ring Wiki	Weapons	Colossal Swords	"Greatsword embedded with a blue glintstone.Weapon of the trolls in service to the royal family of Caria. 
Called into service when the Queen invoked an oath they swore, the trolls are treated as true knights of Caria, and fight arm in arm with their human comrades.
"
Coded Sword	Elden Ring Wiki	Weapons	Straight Swords	"Hidden sword once granted to the Tarnished of the Roundtable
by the Two Fingers. A formless cipher comprises its blade, which
deals holy damage no shield can repel. Champions would gather
at the Roundtable Hold in days long past, when the Two Fingers
were masters of oration, their flesh yet full of vigor.
"
Giant's Red Braid	Elden Ring Wiki	Weapons	Whips	"Hefty whip woven from the flame-red hair of a Fire Giant.
Every giant is red of hair, and Radagon was said to have despised his own red locks. Perhaps that was a curse of their kind.
"
Carian Glintstone Staff	Elden Ring Wiki	Weapons	Glintstone Staffs	"Staff embedded with a blue glintstone. One of two types of Carian staff.
Given to sorcerers that they might enact the role of knight. Enhances Carian sword sorceries.
"
Spiked Caestus	Elden Ring Wiki	Weapons	Fists	"A Caestus with the rivets replaced by blood loss-inducing spikes.
Fists weapons come in pairs, and two-handing this weapon will it to both hands.
"
Ruins Greatsword	Elden Ring Wiki	Weapons	Colossal Swords	"Originally rubble from a ruin which fell from the sky, this surviving fragment was honed into a weapon.One of the legendary armaments.
The ruin it came from crumbled when struck by a meteorite, as such this weapon harbors its destructive power.
"
Troll's Hammer	Elden Ring Wiki	Weapons	Colossal Weapons	"Mining tool of stonedigger trolls used to crack bedrock. 
Trolls are descended from the giants, and these were supposedly once used as ceremonial smithing tools. In the distant past, smithing was considered divine. 
"
Vulgar Militia Shotel	Elden Ring Wiki	Weapons	Halberds	"A hooked blade attached to a long handle. Wielded by the vulgar militia, its attacks can slip through an enemy's guard.
The vulgar militia are the undecorated stewards of rancid, scorched battlefields that none dare approach, and forbidden domains better forgotten by the rest of the world
"
Longsword	Elden Ring Wiki	Weapons	Straight Swords	"A straight sword with a double-edged blade. In addition to its easily-inflicted standard damage, this well- balanced weapon can also perform powerful piercing attacks. 
"
Dark Moon Greatsword	Elden Ring Wiki	Weapons	Greatswords	"A Moon Greatsword, bestowed by a Carian queen upon herspouse to honor long-standing tradition.One of the legendary armaments.
Ranni's sigil is a full moon, cold and leaden, and this sword is but a beam of its light.
"
Winged Scythe	Elden Ring Wiki	Weapons	Reapers	"Sacred scythe resembling a pair of white wings. Deals holy damage.
According to pagan belief, white-winged maidens are said to be Death's gentle envoys. 
"
Rotten Greataxe	Elden Ring Wiki	Weapons	Colossal Weapons	"Greataxe designed for gladiatorial combat, now festering with scarlet rot. Used by duelists who were exiled from the colosseum. 
"
Beastclaw Greathammer	Elden Ring Wiki	Weapons	Great Hammers	"Greathammer with a striking end modelled to resemble five beastly claws.
The black nails protruding from golden fur are said to represent Serosh, Lord of Beasts, who went to become King Godfrey's Regent.
"
Torch	Elden Ring Wiki	Items	Key Items	"This torch's tip is wrapped in oil-soaked rags and set on fire. 
The flame can illuminate dark locales, or used to attack enemies. 
Can be raised up when equipped in the left hand, illuminating more of the surrounding area.
"
Scepter of the All-Knowing	Elden Ring Wiki	Weapons	Hammers	"Scepter in the form of a hand grasping a pearl. Signature weaponof Sir Gideon Ofnir, the All-Knowing. The pearl stands for theworld, the heavens, and an eye, representing the many forms ofknowledge, never fully attainable. Even knowing that, the All-Knowing's hand grasps for it.
"
Parrying Dagger	Elden Ring Wiki	Weapons	Daggers	"A knife with curved handguards. Designed to parry, turning foes' attacks against them. 
For master of combat who anticipate every enemy strike and counter accordingly, this weapon is all they need. 
"
Erdtree Greatbow	Elden Ring Wiki	Weapons	Greatbows	"Greatbow featuring Erdtree styling. In times of old, when faith and battle went hand in hand, this weapon was created in tandem with the Golden Great Arrow.
Scales all arrow damage with faith, revealing its true worth when used with holy-infused arrows.
"
Gargoyle's Black Blades	Elden Ring Wiki	Weapons	Twinblades	"Bronze twinblade wielded by Valiant Gargoyles, mended with blackened corpse wax.
Deals holy damage.
Such is the mark of those who serve Maliketh, the Black Blade.
"
Celebrant's Skull	Elden Ring Wiki	Weapons	Great Hammers	"Large bludgeon ecorated with flowers and many-colored fabrics.
Ceremonial tool used by dancers during the festivities of 
Dominula, Windmill Village.
The striking end is a skull too large in size to be human.
Grants trace amounts of runes on landing attacks.
"
Sword of Night and Flame	Elden Ring Wiki	Weapons	Straight Swords	"Storied sword and treasure of Caria Manor.One of the legendary armaments.
Astrologers, who preceded the sorcerers, established themselves in mountaintops that nearly touched the sky, and considered the Fire Giants their neighbors.
"
Bastard's Stars	Elden Ring Wiki	Weapons	Flails	"Flail which deals magic damage, having been imbued with powerby the remembrance of Astel.
Formed of the same many-colored star debris that comprised theform of the Naturalborn of the Void.
"
Dragon King's Cragblade	Elden Ring Wiki	Weapons	Heavy Thrusting Swords	"Piercing Gravel Stone sword containing primeval lightning.
A portion of the Dragonlord's power, gained from a
remembrance.
This weapon commands great power over the paltry, mortal
dragons of today.
"
Erdtree Seal	Elden Ring Wiki	Weapons	Sacred Seals	"A formless sacred seal decorated with an Erdtree crest, once the focus of religion in the Lands Between.Even though the Elden Ring is shattered, and the Erdtree has dulled from its former radiance, earnest faith continues to hold the answers.
"
Inquisitor's Girandole	Elden Ring Wiki	Weapons	Spears	"Instrument of torture used on nobles behind the curtain at the Volcano Manor of Mt. Gelmir.
Its numerous spikes pierce the flesh, then singe the wounds withflame. The smell of burnt blood induces despair in the victim. Acandlestick conveived by a thorough mind.
"
Great Stars	Elden Ring Wiki	Weapons	Great Hammers	"Huge bludgeon with three stars at the striking end. Though primarily a striking weapon, the stars' spikes cause blood loss.A blood-stained star is an ill omen, a fact not lost upon those against whom this weapon is brought to bear. Landing attacks slightly restores HP.
"
Gargoyle's Black Halberd	Elden Ring Wiki	Weapons	Halberds	"Bronze halberd wielded by Valiant Gargoyles, mended with blackened corpse wax.
Deals holy damage.
Such is the mark of those who serve Maliketh, the Black Blade.
"
Azur's Glintstone Staff	Elden Ring Wiki	Weapons	Glintstone Staffs	"Staff of the primeval glintstone sorcerer Azur. Only those who have glimpsed what lies beyond the wisdom of stone may wield it.
Reduces casting time of all sorceries, but consumes additional FP. 
"
Gargoyle's Twinblade	Elden Ring Wiki	Weapons	Twinblades	"Bronze twinblade wielded by Valiant Gargoyles.
Just like the wielder, the missing parts have been mended with corpse wax; a patchwork of champions.
"
Weathered Straight Sword	Elden Ring Wiki	Weapons	Straight Swords	"Straight sword with a rather short but wide blade.
Simple to wield, it was known as the sword of the people.
Though the Erdtree styling is still visible, time has not been kind
to this sword, now merely a shadow of its former self.
"
